Hizmet;Tesis_Tipi;STEP_ID;Dosya;Satir_Sayisi;Ornekleme_ms;Yaklasik_Sure_s;Test_Adi
HFK;EDUEDT;FREQ_SUPPORT_LOWER;FREQ_SUPPORT_LOWER_ORNEK.csv;851;20;17.0;Frekans Destek Rezervi — negatif yön
HFK;EDUEDT;SYNC_SUPPORT_RAISE;SYNC_SUPPORT_RAISE_ORNEK.csv;851;20;17.0;Senkron Bağlantı Destek Rezervi — pozitif yön
HFK;EDUEDT;SYNC_SUPPORT_LOWER;SYNC_SUPPORT_LOWER_ORNEK.csv;851;20;17.0;Senkron Bağlantı Destek Rezervi — negatif yön
SFHM;KONV;LFSM_U_49_6;LFSM_U_49_6_ORNEK.csv;9401;100;940.0;Sınırlı frekans hassasiyet modu — düşük frekans / 49,6 Hz
SFHM;KONV;LFSM_O_50_4;LFSM_O_50_4_ORNEK.csv;9401;100;940.0;Sınırlı frekans hassasiyet modu — yüksek frekans / 50,4 Hz
SFHM;EDUEDT;LFSM_U_49_6;LFSM_U_49_6_ORNEK.csv;9401;100;940.0;Sınırlı frekans hassasiyet modu — düşük frekans / 49,6 Hz
SFHM;EDUEDT;LFSM_O_50_4;LFSM_O_50_4_ORNEK.csv;9401;100;940.0;Sınırlı frekans hassasiyet modu — yüksek frekans / 50,4 Hz
SFK;HES;MAX_LOAD_UP;MAX_LOAD_UP_ORNEK.csv;421;1000;420.0;Maksimum kapasite bölgesi — yük alma testi
SFK;HES;MAX_LOAD_DOWN;MAX_LOAD_DOWN_ORNEK.csv;421;1000;420.0;Maksimum kapasite bölgesi — yük atma testi
SFK;HES;MIN_LOAD_DOWN;MIN_LOAD_DOWN_ORNEK.csv;421;1000;420.0;Minimum kapasite bölgesi — yük atma testi
SFK;HES;MIN_LOAD_UP;MIN_LOAD_UP_ORNEK.csv;421;1000;420.0;Minimum kapasite bölgesi — yük alma testi
SFK;HES;PFK_ON_LOAD_DOWN;PFK_ON_LOAD_DOWN_ORNEK.csv;421;1000;420.0;PFK devrede — yük atma testi
SFK;HES;PFK_ON_LOAD_UP;PFK_ON_LOAD_UP_ORNEK.csv;421;1000;420.0;PFK devrede — yük alma testi
SFK;HES;LFC_SIGNAL_CHECK;LFC_SIGNAL_CHECK_ORNEK.csv;421;1000;420.0;LFC/AGC sinyal, alarm ve durum bilgileri kontrolü
SFK;DGKCS;MAX_LOAD_UP;MAX_LOAD_UP_ORNEK.csv;421;1000;420.0;Maksimum kapasite bölgesi — yük alma testi
SFK;DGKCS;MAX_LOAD_DOWN;MAX_LOAD_DOWN_ORNEK.csv;421;1000;420.0;Maksimum kapasite bölgesi — yük atma testi
SFK;DGKCS;MIN_LOAD_DOWN;MIN_LOAD_DOWN_ORNEK.csv;421;1000;420.0;Minimum kapasite bölgesi — yük atma testi
SFK;DGKCS;MIN_LOAD_UP;MIN_LOAD_UP_ORNEK.csv;421;1000;420.0;Minimum kapasite bölgesi — yük alma testi
SFK;DGKCS;PFK_ON_LOAD_DOWN;PFK_ON_LOAD_DOWN_ORNEK.csv;421;1000;420.0;PFK devrede — yük atma testi
SFK;DGKCS;PFK_ON_LOAD_UP;PFK_ON_LOAD_UP_ORNEK.csv;421;1000;420.0;PFK devrede — yük alma testi
SFK;DGKCS;LFC_SIGNAL_CHECK;LFC_SIGNAL_CHECK_ORNEK.csv;421;1000;420.0;LFC/AGC sinyal, alarm ve durum bilgileri kontrolü
SFK;TES;MAX_LOAD_UP;MAX_LOAD_UP_ORNEK.csv;421;1000;420.0;Maksimum kapasite bölgesi — yük alma testi
SFK;TES;MAX_LOAD_DOWN;MAX_LOAD_DOWN_ORNEK.csv;421;1000;420.0;Maksimum kapasite bölgesi — yük atma testi
SFK;TES;MIN_LOAD_DOWN;MIN_LOAD_DOWN_ORNEK.csv;421;1000;420.0;Minimum kapasite bölgesi — yük atma testi
SFK;TES;MIN_LOAD_UP;MIN_LOAD_UP_ORNEK.csv;421;1000;420.0;Minimum kapasite bölgesi — yük alma testi
SFK;TES;PFK_ON_LOAD_DOWN;PFK_ON_LOAD_DOWN_ORNEK.csv;421;1000;420.0;PFK devrede — yük atma testi
SFK;TES;PFK_ON_LOAD_UP;PFK_ON_LOAD_UP_ORNEK.csv;421;1000;420.0;PFK devrede — yük alma testi
SFK;TES;LFC_SIGNAL_CHECK;LFC_SIGNAL_CHECK_ORNEK.csv;421;1000;420.0;LFC/AGC sinyal, alarm ve durum bilgileri kontrolü
SFK;EDUEDT;AGC_RAISE;AGC_RAISE_ORNEK.csv;421;1000;420.0;AGC — pozitif rezerv etkinleştirme
SFK;EDUEDT;AGC_LOWER;AGC_LOWER_ORNEK.csv;421;1000;420.0;AGC — negatif rezerv etkinleştirme
SFK;EDUEDT;ENERGY_RESERVE;ENERGY_RESERVE_ORNEK.csv;421;1000;420.0;Rezerv enerji / SoC yeterlilik kaydı
SFK;EDUEDT;LFC_SIGNAL_CHECK;LFC_SIGNAL_CHECK_ORNEK.csv;421;1000;420.0;AGC/LFC arayüz ve durum sinyalleri
