# YHDA_VERSION=0.5
# TEST_SERVICE=HFK
# PLANT_TYPE=EDUEDT
# STEP_ID=FREQ_SUPPORT_LOWER
# STEP_NAME=Frekans Destek Rezervi — negatif yön
# TESIS_ADI=YHDA Örnek HFK EDT
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=100.0
# NOMINAL_VOLTAGE_KV=154.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.5
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=20
# HFK_RESERVE_MW=20
# ENERGY_CAPACITY_MWH=200
# SOC_INITIAL_PERCENT=65
time_s;frequency_hz;active_power_mw;soc_pct;stored_energy_mwh;dc_power_mw;rocof_hz_s;trigger;tie_line_flow_mw;voltage_kv
-1,740000;50;0,050193;65,000000;130,000000;0,064456;0,003332;0;1599,885694;154,004502
-1,720000;50;-0,072084;65,000000;130,000001;-0,097665;-0,010503;0;1599,925598;153,971999
-1,700000;50;0,048220;65,000000;130,000000;0,001267;-0,022756;0;1599,543683;154,021305
-1,680000;50;-0,045149;65,000000;130,000001;-0,064547;-0,009382;0;1600,210065;153,980164
-1,660000;50;-0,003185;65,000000;130,000001;-0,020577;0,005450;0;1599,854683;154,021203
-1,640000;50;-0,039711;65,000000;130,000001;-0,056834;0,015864;0;1599,772867;154,004677
-1,620000;50;0,002772;65,000000;130,000001;-0,004151;-0,008686;0;1600,174507;153,995359
-1,600000;50;-0,049893;65,000001;130,000001;-0,025384;0,012643;0;1599,198371;153,918152
-1,580000;50;-0,026456;65,000001;130,000001;0,006355;-0,016919;0;1599,684384;153,983327
-1,560000;50;0,034148;65,000001;130,000001;0,005834;0,000595;0;1600,129778;154,025723
-1,540000;50;-0,043731;65,000001;130,000001;-0,021183;0,000375;0;1599,949466;153,993078
-1,520000;50;0,033855;65,000001;130,000001;0,005160;-0,013266;0;1600,031262;153,973119
-1,500000;50;0,016517;65,000001;130,000001;0,061767;-0,001728;0;1599,865802;154,014958
-1,480000;50;-0,014424;65,000001;130,000001;-0,010387;0,028135;0;1600,096125;153,974783
-1,460000;50;-0,006671;65,000001;130,000001;0,030932;-0,027404;0;1600,315244;154,022056
-1,440000;50;0,072169;65,000000;130,000001;0,106396;0,001897;0;1599,635883;154,029455
-1,420000;50;0,016889;65,000000;130,000001;0,051083;0,006584;0;1600,038850;153,974761
-1,400000;50;0,007275;65,000000;130,000001;0,036866;0,007999;0;1599,854601;153,998535
-1,380000;50;-0,032821;65,000000;130,000001;-0,050636;0,017956;0;1599,992578;153,989083
-1,360000;50;-0,017524;65,000000;130,000001;-0,045196;-0,003988;0;1600,320358;153,991768
-1,340000;50;0,023311;65,000000;130,000001;-0,020977;-0,000188;0;1600,271901;154,016165
-1,320000;50;0,052590;65,000000;130,000000;0,087146;-0,008543;0;1599,769893;153,959709
-1,300000;50;-0,031829;65,000000;130,000001;-0,059922;-0,019697;0;1600,076339;154,000302
-1,280000;50;-0,046639;65,000000;130,000001;-0,052853;-0,015247;0;1599,999344;153,974607
-1,260000;50;0,014505;65,000000;130,000001;0,022987;0,011622;0;1600,139277;154,007980
-1,240000;50;0,051472;65,000000;130,000001;0,043455;0,033738;0;1599,787824;154,009520
-1,220000;50;-0,031753;65,000000;130,000001;0,015174;-0,006576;0;1599,935990;154,000734
-1,200000;50;-0,012267;65,000000;130,000001;-0,045257;-0,015147;0;1600,284873;154,020023
-1,180000;50;-0,017683;65,000000;130,000001;-0,017896;-0,007943;0;1599,710917;153,994859
-1,160000;50;-0,066530;65,000001;130,000001;-0,089931;0,005717;0;1600,005860;154,034205
-1,140000;50;0,020021;65,000001;130,000001;0,055574;0,002514;0;1600,192898;153,988253
-1,120000;50;0,015918;65,000001;130,000001;0,001512;-0,000718;0;1599,964320;153,985728
-1,100000;50;-0,087181;65,000001;130,000002;-0,068525;0,009913;0;1599,978370;154,001233
-1,080000;50;-0,051993;65,000001;130,000002;-0,024024;-0,001234;0;1599,634300;153,992455
-1,060000;50;-0,024796;65,000001;130,000002;-0,063097;-0,008472;0;1599,838885;153,999973
-1,040000;50;-0,014387;65,000001;130,000002;-0,014465;-0,021158;0;1599,409375;154,000991
-1,020000;50;-0,022816;65,000001;130,000002;-0,024015;0,015610;0;1599,681361;153,951735
-1,000000;50;-0,014082;65,000001;130,000002;-0,029886;-0,018232;0;1600,229672;153,990680
-0,980000;50;0,017902;65,000001;130,000002;0,050143;0,003983;0;1599,940508;154,015930
-0,960000;50;-0,015956;65,000001;130,000002;-0,041664;0,022671;0;1599,660076;154,005499
-0,940000;50;0,005592;65,000001;130,000002;0,006966;-0,006187;0;1599,855226;153,986564
-0,920000;50;-0,025557;65,000001;130,000002;0,002524;0,010796;0;1600,240310;153,959927
-0,900000;50;0,028794;65,000001;130,000002;0,016349;-0,003787;0;1599,951620;154,001103
-0,880000;50;-0,010894;65,000001;130,000002;0,042104;0,009398;0;1600,032240;154,032105
-0,860000;50;0,040675;65,000001;130,000002;0,008576;0,013201;0;1600,044743;153,989473
-0,840000;50;-0,006022;65,000001;130,000002;0,024488;-0,042100;0;1600,189698;153,972141
-0,820000;50;-0,041070;65,000001;130,000002;-0,043284;-0,019303;0;1599,957126;153,975973
-0,800000;50;-0,053598;65,000001;130,000003;-0,089143;-0,000718;0;1600,286301;153,997524
-0,780000;50;0,024588;65,000001;130,000002;0,035004;0,017102;0;1599,585490;153,999279
-0,760000;50;0,015865;65,000001;130,000002;-0,023351;0,002656;0;1600,122985;154,016208
-0,740000;50;-0,031131;65,000001;130,000003;-0,035806;-0,002334;0;1600,081247;153,974805
-0,720000;50;-0,060630;65,000001;130,000003;-0,053812;0,024349;0;1600,043615;154,000616
-0,700000;50;-0,039729;65,000002;130,000003;-0,016596;0,008958;0;1599,978786;153,979284
-0,680000;50;-0,010550;65,000002;130,000003;-0,047624;0,018509;0;1599,945978;154,022061
-0,660000;50;-0,026752;65,000002;130,000003;-0,064445;-0,000548;0;1599,863051;153,981716
-0,640000;50;0,065744;65,000001;130,000003;0,127796;0,014505;0;1600,321146;154,012369
-0,620000;50;-0,026452;65,000002;130,000003;-0,029714;0,018737;0;1599,927951;154,002061
-0,600000;50;0,038814;65,000001;130,000003;0,064970;-0,022019;0;1600,087510;154,032288
-0,580000;50;0,005870;65,000001;130,000003;-0,003274;0,002787;0;1600,155477;154,005301
-0,560000;50;-0,059468;65,000002;130,000003;-0,032879;0,010022;0;1600,249939;153,988791
-0,540000;50;0,009067;65,000002;130,000003;0,056596;0,015312;0;1600,286037;154,006350
-0,520000;50;0,042532;65,000001;130,000003;0,049299;-0,005582;0;1599,873332;154,013808
-0,500000;50;0,044487;65,000001;130,000003;0,024616;-0,010689;0;1600,360773;153,999698
-0,480000;50;-0,060414;65,000001;130,000003;-0,010572;-0,031921;0;1599,770888;154,018704
-0,460000;50;0,015820;65,000001;130,000003;-0,014779;0,008325;0;1600,238508;154,024758
-0,440000;50;0,005443;65,000001;130,000003;0,005402;-0,002867;0;1599,883746;154,012332
-0,420000;50;0,029423;65,000001;130,000003;0,061208;0,001603;0;1600,011854;153,985360
-0,400000;50;-0,056853;65,000001;130,000003;-0,062462;0,002250;0;1600,001227;153,975882
-0,380000;50;-0,004266;65,000001;130,000003;0,001000;0,006359;0;1599,929976;153,999144
-0,360000;50;0,006469;65,000001;130,000003;-0,010188;0,007676;0;1600,114238;153,998751
-0,340000;50;0,010693;65,000001;130,000003;0,015119;-0,002604;0;1599,793940;153,994440
-0,320000;50;0,055555;65,000001;130,000003;0,040062;0,036421;0;1600,447817;154,021963
-0,300000;50;-0,018840;65,000001;130,000003;0,015461;-0,014960;0;1600,053920;154,019283
-0,280000;50;0,024888;65,000001;130,000003;0,051123;-0,016948;0;1599,951391;153,997794
-0,260000;50;-0,016673;65,000001;130,000003;0,028643;0,007704;0;1600,050081;154,009347
-0,240000;50;0,066865;65,000001;130,000002;0,091838;0,026636;0;1599,760058;153,987639
-0,220000;50;0,011383;65,000001;130,000002;0,063655;0,017321;0;1600,016187;153,984147
-0,200000;50;-0,023572;65,000001;130,000002;0,021686;-0,007965;0;1600,145411;153,992894
-0,180000;50;-0,016715;65,000001;130,000002;0,007904;-0,016926;0;1600,184600;153,960285
-0,160000;50;-0,020310;65,000001;130,000003;-0,037069;-0,001316;0;1599,765096;153,999483
-0,140000;50;0,065113;65,000001;130,000002;0,095108;0,007892;0;1600,290692;153,970103
-0,120000;50;0,011799;65,000001;130,000002;0,046429;0,005071;0;1600,397708;153,980024
-0,100000;50;0,012104;65,000001;130,000002;-0,034719;0,005202;0;1599,645248;153,991790
-0,080000;50;0,013962;65,000001;130,000002;0,009887;-0,004504;0;1599,965699;153,981934
-0,060000;50;-0,005426;65,000001;130,000002;0,014760;0,013372;0;1600,300401;153,997621
-0,040000;50;0,048787;65,000001;130,000002;0,052796;-0,033915;0;1600,103553;153,997287
-0,020000;50;0,017288;65,000001;130,000002;-0,025993;0,014826;0;1599,791026;153,996178
0,000000;50,489421;0,005010;65,000001;130,000002;-0,032121;0,724126;1;1599,992152;153,992746
0,020000;50,488180;-0,045068;65,000001;130,000002;-0,006649;0,663853;1;1599,779370;153,993370
0,040000;50,487642;-0,180220;65,000001;130,000003;-0,181776;0,615470;1;1600,216314;153,998141
0,060000;50,486180;-0,261530;65,000002;130,000004;-0,272314;0,529153;1;1599,770064;153,991067
0,080000;50,485044;-0,624000;65,000004;130,000008;-0,617569;0,502407;1;1600,357052;154,018572
0,100000;50,484103;-0,924274;65,000006;130,000013;-0,957110;0,431427;1;1600,093791;153,965252
0,120000;50,483040;-1,326770;65,000010;130,000020;-1,378068;0,353423;1;1600,054560;154,007299
0,140000;50,484008;-1,715186;65,000015;130,000030;-1,788227;0,356473;1;1600,180117;154,011302
0,160000;50,480719;-2,189438;65,000021;130,000042;-2,260506;0,294488;1;1600,148329;153,979192
0,180000;50,480166;-2,681343;65,000028;130,000057;-2,651158;0,277304;1;1600,272197;153,994704
0,200000;50,479654;-3,291467;65,000038;130,000075;-3,366065;0,258477;1;1600,263564;154,003936
0,220000;50,479409;-3,874482;65,000048;130,000097;-3,924729;0,210285;1;1599,527440;153,998177
0,240000;50,479568;-4,485609;65,000061;130,000122;-4,542551;0,182102;1;1599,776878;153,974282
0,260000;50,478987;-5,136510;65,000075;130,000150;-5,208897;0,161140;1;1600,004603;154,015133
0,280000;50,476577;-5,867633;65,000091;130,000183;-5,974668;0,160072;1;1599,714493;154,005600
0,300000;50,476331;-6,559585;65,000110;130,000219;-6,626644;0,159005;1;1599,742928;153,971124
0,320000;50,475615;-7,337037;65,000130;130,000260;-7,451908;0,129480;1;1599,491484;154,003960
0,340000;50,475519;-8,072962;65,000152;130,000305;-8,260708;0,115403;1;1600,034850;154,002445
0,360000;50,473681;-8,797796;65,000177;130,000354;-8,906438;0,104942;1;1600,020135;153,995698
0,380000;50,472816;-9,652241;65,000204;130,000407;-9,798125;0,063509;1;1599,971544;153,980371
0,400000;50,473084;-10,397220;65,000233;130,000465;-10,551457;0,081008;1;1599,878966;153,980790
0,420000;50,471283;-11,116631;65,000263;130,000527;-11,303535;0,074986;1;1599,993809;153,970720
0,440000;50,472703;-11,942408;65,000297;130,000593;-12,121920;0,095351;1;1599,450132;154,019475
0,460000;50,471331;-12,594865;65,000332;130,000663;-12,787365;0,026288;1;1599,829586;153,972680
0,480000;50,470267;-13,424251;65,000369;130,000738;-13,690620;0,066756;1;1599,904885;154,016498
0,500000;50,469622;-14,144222;65,000408;130,000816;-14,344073;0,039447;1;1600,351297;154,019257
0,520000;50,469077;-14,846172;65,000449;130,000899;-15,133719;0,024626;1;1600,274326;154,013589
0,540000;50,468607;-15,418672;65,000492;130,000984;-15,635691;0,040332;1;1600,186334;154,002587
0,560000;50,468091;-16,146433;65,000537;130,001074;-16,389927;0,053898;1;1600,090336;153,995377
0,580000;50,468621;-16,678135;65,000583;130,001167;-16,967003;0,018274;1;1599,863740;153,976045
0,600000;50,467574;-17,321985;65,000632;130,001263;-17,621942;0,026100;1;1600,081457;153,986446
0,620000;50,466956;-17,795092;65,000681;130,001362;-18,059413;0,025769;1;1600,394152;153,958295
0,640000;50,465786;-18,255288;65,000732;130,001463;-18,596648;0,032224;1;1600,320763;153,990788
0,660000;50,465048;-18,766753;65,000784;130,001568;-19,102048;0,014988;1;1599,796545;153,992652
0,680000;50,464695;-19,090695;65,000837;130,001674;-19,409221;0,012690;1;1600,316578;153,982714
0,700000;50,464281;-19,411830;65,000891;130,001781;-19,670534;0,022787;1;1599,866270;153,970421
0,720000;50,463634;-19,686160;65,000945;130,001891;-19,978575;0,004410;1;1600,092445;154,002224
0,740000;50,464710;-19,863364;65,001001;130,002001;-20,150729;0,015879;1;1600,169467;154,014192
0,760000;50,462817;-19,954611;65,001056;130,002112;-20,259787;0,016128;1;1600,197793;154,034966
0,780000;50,464217;-20,028358;65,001112;130,002223;-20,326938;-0,012446;1;1600,078858;153,983450
0,800000;50,463232;-19,969451;65,001167;130,002334;-20,240123;0,005445;1;1600,313117;154,005646
0,820000;50,462503;-19,966632;65,001223;130,002445;-20,244816;-0,007157;1;1599,689239;154,020204
0,840000;50,462321;-19,960869;65,001278;130,002556;-20,193733;0,000311;1;1600,016669;154,025406
0,860000;50,461712;-19,942089;65,001333;130,002667;-20,225724;0,015347;1;1599,806200;154,003545
0,880000;50,461563;-19,994353;65,001389;130,002778;-20,302198;-0,004178;1;1600,096285;153,983128
0,900000;50,461222;-19,967555;65,001444;130,002889;-20,243163;0,011749;1;1600,315505;153,995326
0,920000;50,460131;-20,030769;65,001500;130,003000;-20,356257;-0,018587;1;1599,950777;153,958882
0,940000;50,461262;-20,021227;65,001556;130,003111;-20,345823;0,014169;1;1599,563817;153,993413
0,960000;50,459584;-19,982041;65,001611;130,003222;-20,293493;-0,014842;1;1599,579370;154,024651
0,980000;50,459728;-20,020111;65,001667;130,003334;-20,347332;0,025913;1;1600,075607;153,974128
1,000000;50,457912;-20,052391;65,001723;130,003445;-20,330454;0,016556;1;1599,952512;153,998059
1,020000;50,458238;-19,999091;65,001778;130,003556;-20,265765;-0,033471;1;1599,990407;154,036178
1,040000;50,458732;-19,980613;65,001834;130,003667;-20,314438;0,017041;1;1599,875052;154,016161
1,060000;50,458478;-19,995314;65,001889;130,003778;-20,261259;0,011433;1;1600,175250;154,001826
1,080000;50,457427;-20,073999;65,001945;130,003890;-20,435011;-0,016845;1;1599,575411;153,971340
1,100000;50,458964;-19,973072;65,002000;130,004001;-20,290572;0,004739;1;1599,574343;153,984690
1,120000;50,458852;-20,000671;65,002056;130,004112;-20,252389;0,013570;1;1600,398304;153,995159
1,140000;50,458157;-20,015835;65,002112;130,004223;-20,286598;-0,016836;1;1599,739669;153,986312
1,160000;50,457701;-20,008280;65,002167;130,004334;-20,309129;0,023905;1;1600,127704;153,996669
1,180000;50,457594;-20,065951;65,002223;130,004446;-20,329507;-0,005723;1;1599,717511;153,976938
1,200000;50,457326;-19,982770;65,002278;130,004557;-20,279092;-0,006622;1;1600,062935;153,997694
1,220000;50,457565;-19,997016;65,002334;130,004668;-20,259750;0,008396;1;1599,758807;153,990787
1,240000;50,457594;-20,037007;65,002390;130,004779;-20,318811;0,006430;1;1599,932244;153,992709
1,260000;50,455216;-20,034055;65,002445;130,004890;-20,302937;-0,015208;1;1599,845189;154,015526
1,280000;50,456701;-20,043284;65,002501;130,005002;-20,352374;0,012572;1;1600,217335;154,017245
1,300000;50,455674;-20,035193;65,002557;130,005113;-20,327690;0,001308;1;1600,039560;154,016474
1,320000;50,456025;-20,038965;65,002612;130,005224;-20,346476;0,006204;1;1600,199103;153,984459
1,340000;50,456598;-20,007468;65,002668;130,005336;-20,284062;0,008529;1;1599,602823;154,008533
1,360000;50,455531;-19,956645;65,002723;130,005446;-20,276395;-0,031081;1;1599,737488;153,966584
1,380000;50,456082;-20,039812;65,002779;130,005558;-20,347342;0,018419;1;1599,855596;153,971668
1,400000;50,455589;-20,002346;65,002834;130,005669;-20,351578;-0,029297;1;1600,284749;153,992015
1,420000;50,455460;-20,000960;65,002890;130,005780;-20,313015;-0,017484;1;1599,949509;153,973167
1,440000;50,455113;-19,979722;65,002945;130,005891;-20,288564;0,000522;1;1599,747407;154,001903
1,460000;50,454779;-19,993241;65,003001;130,006002;-20,318777;0,006922;1;1600,518857;154,006029
1,480000;50,455976;-19,941266;65,003056;130,006113;-20,245426;0,008254;1;1599,750404;154,015887
1,500000;50,455241;-20,058857;65,003112;130,006224;-20,344614;-0,009946;1;1600,245510;154,016506
1,520000;50,454771;-20,002755;65,003168;130,006335;-20,260837;-0,015990;1;1599,546251;154,049646
1,540000;50,455100;-20,035612;65,003223;130,006447;-20,373096;-0,005335;1;1599,993849;154,051387
1,560000;50,452773;-20,011741;65,003279;130,006558;-20,302862;0,032620;1;1600,020845;153,988107
1,580000;50,454216;-19,996287;65,003334;130,006669;-20,262451;-0,005734;1;1600,149564;154,005019
1,600000;50,454623;-20,041419;65,003390;130,006780;-20,343751;0,013024;1;1600,002211;154,025472
1,620000;50,454028;-19,945533;65,003446;130,006891;-20,225531;0,010674;1;1600,237049;153,991184
1,640000;50,453664;-19,980480;65,003501;130,007002;-20,243171;0,013561;1;1600,137444;154,028474
1,660000;50,454243;-19,933801;65,003556;130,007113;-20,228786;0,016074;1;1600,282388;153,971167
1,680000;50,453677;-20,013800;65,003612;130,007224;-20,356183;0,004369;1;1599,757710;153,987410
1,700000;50,453532;-20,021167;65,003668;130,007335;-20,323078;-0,015912;1;1600,012924;154,020407
1,720000;50,453632;-19,967870;65,003723;130,007446;-20,252382;-0,003627;1;1600,438292;154,008989
1,740000;50,453637;-19,986916;65,003779;130,007557;-20,316139;0,027753;1;1600,210098;154,021978
1,760000;50,453107;-19,964782;65,003834;130,007668;-20,298158;0,004322;1;1599,945557;154,031675
1,780000;50,452355;-19,980049;65,003890;130,007779;-20,267228;-0,001850;1;1599,776934;154,019387
1,800000;50,453421;-19,987799;65,003945;130,007890;-20,314653;0,033145;1;1599,594508;153,967588
1,820000;50,452823;-19,994369;65,004001;130,008001;-20,232415;0,021689;1;1600,170621;153,984094
1,840000;50,453178;-20,003368;65,004056;130,008112;-20,266503;0,000794;1;1600,278342;153,977516
1,860000;50,453665;-20,019868;65,004112;130,008224;-20,286555;-0,025195;1;1599,625615;154,019726
1,880000;50,452351;-19,989326;65,004167;130,008335;-20,297079;0,043601;1;1599,947859;153,999758
1,900000;50,452756;-19,981043;65,004223;130,008446;-20,295377;0,012969;1;1599,888333;153,996168
1,920000;50,451673;-19,912084;65,004278;130,008556;-20,226083;0,007967;1;1600,366351;153,955347
1,940000;50,452744;-19,969925;65,004334;130,008667;-20,256079;-0,003923;1;1600,364305;153,954205
1,960000;50,453333;-20,069554;65,004389;130,008779;-20,369255;0,001815;1;1600,042328;154,008555
1,980000;50,451523;-19,944437;65,004445;130,008890;-20,261529;0,011017;1;1600,048944;154,006357
2,000000;50,452573;-20,067141;65,004501;130,009001;-20,408057;-0,005919;1;1599,769310;153,971114
2,020000;50,451991;-20,043122;65,004556;130,009112;-20,326346;-0,012383;1;1599,599435;153,989287
2,040000;50,452032;-20,003617;65,004612;130,009224;-20,313124;-0,010493;1;1599,789251;153,988908
2,060000;50,452128;-19,988840;65,004667;130,009335;-20,328312;0,015659;1;1599,906040;154,001579
2,080000;50,453072;-19,985878;65,004723;130,009446;-20,299118;-0,003872;1;1599,909436;154,006646
2,100000;50,452917;-19,989641;65,004778;130,009557;-20,310293;0,007300;1;1599,728304;154,010701
2,120000;50,451336;-20,015622;65,004834;130,009668;-20,305347;0,013314;1;1600,145949;153,994844
2,140000;50,452475;-20,018078;65,004890;130,009779;-20,295000;0,020445;1;1600,021393;154,046075
2,160000;50,451556;-20,044524;65,004945;130,009890;-20,327688;-0,000455;1;1599,858800;153,975869
2,180000;50,451636;-20,001749;65,005001;130,010002;-20,272878;-0,005086;1;1599,468814;153,980573
2,200000;50,452059;-20,023630;65,005056;130,010113;-20,345770;0,000190;1;1599,694231;153,990392
2,220000;50,451019;-19,968729;65,005112;130,010224;-20,276416;0,007710;1;1600,003162;154,001489
2,240000;50,451079;-19,963047;65,005167;130,010335;-20,266496;-0,023752;1;1599,887346;154,021238
2,260000;50,450362;-19,973557;65,005223;130,010446;-20,266273;-0,016466;1;1599,936216;153,971255
2,280000;50,452279;-19,994744;65,005278;130,010557;-20,264558;0,015629;1;1599,923132;153,961731
2,300000;50,450093;-19,980477;65,005334;130,010668;-20,309412;0,011640;1;1599,887040;154,005063
2,320000;50,453146;-20,021837;65,005389;130,010779;-20,383016;0,010595;1;1600,074958;153,991433
2,340000;50,451065;-19,995156;65,005445;130,010890;-20,276337;-0,002094;1;1600,142398;154,004397
2,360000;50,451798;-20,005001;65,005501;130,011001;-20,351644;0,012349;1;1600,401005;153,995089
2,380000;50,450927;-19,970026;65,005556;130,011112;-20,229347;-0,001681;1;1599,693201;154,003060
2,400000;50,451077;-20,055354;65,005612;130,011224;-20,374552;0,022147;1;1599,897905;153,995014
2,420000;50,452029;-20,003774;65,005667;130,011335;-20,295414;-0,011233;1;1599,617321;153,964100
2,440000;50,450630;-20,049312;65,005723;130,011446;-20,290594;0,002375;1;1599,865089;154,003000
2,460000;50,451546;-19,934540;65,005778;130,011557;-20,251462;0,010115;1;1599,937593;153,981471
2,480000;50,451549;-20,041164;65,005834;130,011668;-20,337940;-0,003935;1;1600,058979;153,977057
2,500000;50,450787;-19,970475;65,005890;130,011779;-20,274198;-0,004542;1;1600,307639;154,022679
2,520000;50,450648;-19,983531;65,005945;130,011890;-20,231658;0,005913;1;1600,063548;153,978492
2,540000;50,450320;-19,998862;65,006001;130,012001;-20,321773;-0,012538;1;1600,279152;154,023645
2,560000;50,450756;-19,965122;65,006056;130,012112;-20,236862;-0,009696;1;1599,789214;153,970253
2,580000;50,451906;-20,014193;65,006112;130,012223;-20,302844;-0,002239;1;1600,186499;154,010525
2,600000;50,451835;-19,999690;65,006167;130,012334;-20,291358;-0,010836;1;1599,938517;154,020181
2,620000;50,451588;-20,006482;65,006223;130,012446;-20,272787;0,020163;1;1600,103951;153,998723
2,640000;50,451008;-19,954664;65,006278;130,012556;-20,272215;-0,013087;1;1599,938915;154,023811
2,660000;50,451037;-20,029029;65,006334;130,012668;-20,323092;-0,021652;1;1599,895367;154,005513
2,680000;50,451954;-20,009881;65,006389;130,012779;-20,353851;-0,015341;1;1599,766138;154,033747
2,700000;50,450231;-19,987091;65,006445;130,012890;-20,230919;-0,013738;1;1599,728477;153,998606
2,720000;50,451572;-19,947079;65,006500;130,013001;-20,268840;0,024168;1;1599,784505;153,989020
2,740000;50,451314;-19,995473;65,006556;130,013112;-20,302575;0,005202;1;1600,041633;153,983099
2,760000;50,451425;-19,992268;65,006611;130,013223;-20,288037;-0,019964;1;1600,233503;153,992122
2,780000;50,450598;-19,977080;65,006667;130,013334;-20,259651;-0,017520;1;1600,249243;153,961535
2,800000;50,449884;-19,962393;65,006722;130,013445;-20,246939;-0,001630;1;1600,263636;154,000104
2,820000;50,450980;-20,016621;65,006778;130,013556;-20,336376;-0,013795;1;1599,761162;154,005977
2,840000;50,450728;-19,974512;65,006833;130,013667;-20,281636;-0,023946;1;1599,844217;154,013003
2,860000;50,451226;-20,007468;65,006889;130,013778;-20,287991;0,012757;1;1599,894371;154,013547
2,880000;50,450024;-20,011108;65,006945;130,013889;-20,296471;-0,001740;1;1600,377275;154,004935
2,900000;50,450977;-20,002037;65,007000;130,014000;-20,293466;-0,017614;1;1599,680305;154,014852
2,920000;50,450320;-20,068545;65,007056;130,014112;-20,435299;0,018402;1;1600,628692;153,995373
2,940000;50,450319;-19,992932;65,007111;130,014223;-20,266560;0,017374;1;1599,830710;153,996153
2,960000;50,450908;-19,996126;65,007167;130,014334;-20,364029;0,009747;1;1599,825666;154,010011
2,980000;50,451066;-19,992764;65,007223;130,014445;-20,298940;0,019639;1;1599,893722;154,034732
3,000000;50,450177;-20,034739;65,007278;130,014556;-20,253337;-0,013086;1;1600,019194;154,005525
3,020000;50,449609;-19,985469;65,007334;130,014667;-20,313741;0,004687;1;1600,375821;153,985993
3,040000;50,450560;-20,034445;65,007389;130,014779;-20,385418;-0,000154;1;1600,135910;154,003291
3,060000;50,449497;-19,976090;65,007445;130,014890;-20,272966;0,001278;1;1599,940059;153,969825
3,080000;50,449583;-20,048166;65,007501;130,015001;-20,347111;0,005039;1;1599,728820;153,984725
3,100000;50,449649;-19,993210;65,007556;130,015112;-20,241860;-0,011803;1;1599,857572;153,994328
3,120000;50,450518;-19,980564;65,007612;130,015223;-20,250084;0,005724;1;1600,019692;153,984616
3,140000;50,450604;-19,979555;65,007667;130,015334;-20,280880;-0,009891;1;1600,263356;153,984738
3,160000;50,449815;-20,005598;65,007723;130,015445;-20,276298;-0,004519;1;1599,695632;153,986681
3,180000;50,450575;-19,988146;65,007778;130,015556;-20,318329;0,038054;1;1599,573236;154,002616
