# YHDA_VERSION=0.6.5
# TEST_SERVICE=HFK
# PLANT_TYPE=EDUEDT
# STEP_ID=SYNC_SUPPORT_RAISE
# STEP_NAME=Senkron Bağlantı Destek Rezervi — pozitif yön
# TESIS_ADI=YHDA Örnek HFK EDT
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=100.0
# NOMINAL_VOLTAGE_KV=154.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.5
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=20
# HFK_RESERVE_MW=20
# ENERGY_CAPACITY_MWH=200
# SOC_INITIAL_PERCENT=65
ZAMAN;SIRA_NO;frequency_hz;active_power_mw;soc_pct;stored_energy_mwh;dc_power_mw;rocof_hz_s;trigger;tie_line_flow_mw;voltage_kv
16.8.2026 08:59:58,2s;11;50,000135;-0,025859;65,000000;130,000000;-0,005714;0,013178;0;1599,831661;154,033239
16.8.2026 08:59:58,22s;12;49,999407;-0,015544;65,000000;130,000000;-0,011195;0,001964;0;1600,084066;154,002741
16.8.2026 08:59:58,24s;13;49,998310;-0,006459;65,000000;130,000000;-0,016403;0,023894;0;1599,644308;154,022459
16.8.2026 08:59:58,26s;14;49,999876;-0,049627;65,000000;130,000001;-0,079621;0,022350;0;1600,062437;154,003440
16.8.2026 08:59:58,28s;15;50,001178;0,039628;65,000000;130,000000;0,050028;0,007778;0;1599,746796;153,986044
16.8.2026 08:59:58,3s;16;50,000925;-0,023110;65,000000;130,000000;0,008141;0,002777;0;1599,785195;154,004775
16.8.2026 08:59:58,32s;17;49,999680;0,038451;65,000000;130,000000;0,033888;0,026643;0;1600,259800;153,991022
16.8.2026 08:59:58,34s;18;50,000744;0,029195;65,000000;130,000000;0,009293;0,013100;0;1599,890400;153,978765
16.8.2026 08:59:58,36s;19;50,000557;0,030190;65,000000;130,000000;0,014236;0,010786;0;1600,258598;154,018080
16.8.2026 08:59:58,38s;20;49,999402;-0,034660;65,000000;130,000000;-0,066579;0,023866;0;1599,979294;154,022912
16.8.2026 08:59:58,4s;21;49,999927;0,027044;65,000000;130,000000;0,037799;0,009212;0;1600,272399;153,983453
16.8.2026 08:59:58,42s;22;50,000222;0,031250;65,000000;130,000000;0,054538;0,002178;0;1600,162934;153,982258
16.8.2026 08:59:58,44s;23;50,000019;0,033464;65,000000;130,000000;-0,025461;0,008753;0;1600,055981;153,992372
16.8.2026 08:59:58,46s;24;49,999469;0,027431;65,000000;129,999999;0,029243;-0,012930;0;1600,271777;154,024182
16.8.2026 08:59:58,48s;25;50,000340;-0,042325;65,000000;130,000000;-0,015180;0,021673;0;1600,500717;154,005895
16.8.2026 08:59:58,5s;26;50,000529;0,012046;65,000000;130,000000;0,003093;-0,009621;0;1600,350167;154,005346
16.8.2026 08:59:58,52s;27;50,000803;-0,067302;65,000000;130,000000;-0,079426;0,000116;0;1599,892510;153,986165
16.8.2026 08:59:58,54s;28;49,999159;0,019660;65,000000;130,000000;0,018022;-0,007601;0;1599,799298;154,007543
16.8.2026 08:59:58,56s;29;50,000218;0,041092;65,000000;130,000000;0,046252;0,007008;0;1600,004071;154,023489
16.8.2026 08:59:58,58s;30;49,999973;0,042675;65,000000;129,999999;0,052316;-0,004163;0;1600,003996;153,996179
16.8.2026 08:59:58,6s;31;49,998634;-0,017544;65,000000;129,999999;-0,029741;0,036054;0;1599,757550;154,025056
16.8.2026 08:59:58,62s;32;50,000124;-0,043932;65,000000;130,000000;-0,080281;-0,013072;0;1599,966027;153,997122
16.8.2026 08:59:58,64s;33;49,999597;0,022996;65,000000;130,000000;0,001139;-0,006773;0;1599,932747;153,987929
16.8.2026 08:59:58,66s;34;50,000298;-0,020835;65,000000;130,000000;-0,020117;0,005718;0;1599,885453;154,025206
16.8.2026 08:59:58,68s;35;49,999570;0,039125;65,000000;130,000000;0,019939;0,004603;0;1600,394208;153,975443
16.8.2026 08:59:58,7s;36;50,000092;0,020762;65,000000;129,999999;-0,004143;-0,001195;0;1599,625644;153,998519
16.8.2026 08:59:58,72s;37;50,000420;-0,019053;65,000000;129,999999;-0,054137;-0,015068;0;1600,060810;153,972254
16.8.2026 08:59:58,74s;38;50,000352;0,027021;65,000000;129,999999;-0,009707;-0,002883;0;1600,014765;153,995787
16.8.2026 08:59:58,76s;39;49,999906;0,006139;65,000000;129,999999;0,050555;0,003505;0;1599,623631;154,032645
16.8.2026 08:59:58,78s;40;50,001175;-0,000814;65,000000;129,999999;0,051967;-0,012740;0;1600,279543;153,955807
16.8.2026 08:59:58,8s;41;50,000509;-0,050391;65,000000;130,000000;-0,103680;0,023750;0;1600,265208;154,012011
16.8.2026 08:59:58,82s;42;49,999547;0,018345;65,000000;129,999999;0,037964;0,009632;0;1600,079487;153,998010
16.8.2026 08:59:58,84s;43;50,000669;0,017301;65,000000;129,999999;0,034785;-0,006995;0;1600,320853;154,022236
16.8.2026 08:59:58,86s;44;49,999463;-0,051745;65,000000;130,000000;-0,005374;0,003614;0;1600,525134;153,988438
16.8.2026 08:59:58,88s;45;50,000824;-0,027259;65,000000;130,000000;-0,018035;-0,012480;0;1600,192708;154,006637
16.8.2026 08:59:58,9s;46;50,000365;0,045007;65,000000;130,000000;0,014147;0,001216;0;1600,229930;153,997096
16.8.2026 08:59:58,92s;47;49,999902;0,041946;65,000000;129,999999;0,043726;0,007748;0;1600,012919;154,015696
16.8.2026 08:59:58,94s;48;49,999386;0,009060;65,000000;129,999999;0,033639;0,007423;0;1599,962262;153,999723
16.8.2026 08:59:58,96s;49;49,999301;-0,016657;65,000000;129,999999;0,000854;-0,000889;0;1600,072106;154,004117
16.8.2026 08:59:58,98s;50;49,999206;0,009362;65,000000;129,999999;-0,022263;-0,003918;0;1599,876389;154,019171
16.8.2026 08:59:59,0s;51;50,000175;0,034033;65,000000;129,999999;0,051309;-0,002056;0;1599,727624;153,979467
16.8.2026 08:59:59,02s;52;50,000452;-0,059592;65,000000;129,999999;-0,058554;-0,018946;0;1600,135536;153,998865
16.8.2026 08:59:59,04s;53;50,000018;-0,045192;65,000000;130,000000;-0,082676;-0,003485;0;1599,719141;154,046251
16.8.2026 08:59:59,06s;54;49,999492;0,004516;65,000000;130,000000;0,015648;0,035339;0;1600,077841;153,990881
16.8.2026 08:59:59,08s;55;49,997950;-0,022643;65,000000;130,000000;-0,014675;0,004402;0;1600,125945;153,982389
16.8.2026 08:59:59,1s;56;50,000024;-0,027677;65,000000;130,000000;-0,069700;-0,003581;0;1600,039497;153,976988
16.8.2026 08:59:59,12s;57;49,998982;0,003837;65,000000;130,000000;-0,020947;0,008774;0;1599,807837;153,962247
16.8.2026 08:59:59,14s;58;50,000856;-0,059748;65,000000;130,000000;-0,008444;-0,007252;0;1600,298913;153,969028
16.8.2026 08:59:59,16s;59;50,001132;0,012214;65,000000;130,000000;0,019310;0,005463;0;1600,273311;153,991040
16.8.2026 08:59:59,18s;60;49,999376;-0,026365;65,000000;130,000000;-0,013748;-0,013132;0;1599,982116;154,010321
16.8.2026 08:59:59,2s;61;50,000411;-0,016130;65,000000;130,000000;-0,008401;-0,019546;0;1600,464426;153,978267
16.8.2026 08:59:59,22s;62;49,999347;-0,024318;65,000000;130,000001;-0,063061;0,004533;0;1600,156117;153,997263
16.8.2026 08:59:59,24s;63;49,999572;0,032656;65,000000;130,000000;-0,010331;-0,042301;0;1599,939782;154,032739
16.8.2026 08:59:59,26s;64;49,998111;-0,012286;65,000000;130,000000;-0,016040;0,004164;0;1600,226479;154,028457
16.8.2026 08:59:59,28s;65;49,999719;0,026437;65,000000;130,000000;0,064969;0,022378;0;1599,571474;154,003352
16.8.2026 08:59:59,3s;66;49,999335;0,011303;65,000000;130,000000;0,026327;0,022135;0;1600,074047;154,009016
16.8.2026 08:59:59,32s;67;50,000672;-0,027405;65,000000;130,000000;-0,073106;-0,002213;0;1599,788172;154,000960
16.8.2026 08:59:59,34s;68;49,999846;0,033778;65,000000;130,000000;0,032107;-0,005260;0;1600,227446;154,011470
16.8.2026 08:59:59,36s;69;50,000310;-0,038368;65,000000;130,000000;-0,001081;0,002856;0;1600,002221;153,970153
16.8.2026 08:59:59,38s;70;49,999730;0,004553;65,000000;130,000000;-0,059453;0,015261;0;1599,963832;153,992018
16.8.2026 08:59:59,4s;71;50,000130;-0,001292;65,000000;130,000000;-0,012021;0,012255;0;1600,125290;153,986511
16.8.2026 08:59:59,42s;72;49,999127;0,007924;65,000000;130,000000;0,020166;0,008187;0;1600,194595;153,960977
16.8.2026 08:59:59,44s;73;49,999858;-0,079719;65,000000;130,000001;-0,059751;-0,032566;0;1600,169580;153,963836
16.8.2026 08:59:59,46s;74;49,999119;0,037270;65,000000;130,000001;0,043292;-0,008965;0;1600,098880;154,015323
16.8.2026 08:59:59,48s;75;49,999051;-0,001512;65,000000;130,000001;0,012876;-0,004454;0;1599,895377;154,024180
16.8.2026 08:59:59,5s;76;50,000502;-0,000077;65,000000;130,000001;-0,011806;0,005655;0;1600,111150;154,017520
16.8.2026 08:59:59,52s;77;49,999841;0,032482;65,000000;130,000000;0,111147;-0,005648;0;1599,886401;153,972322
16.8.2026 08:59:59,54s;78;49,999889;0,062475;65,000000;130,000000;0,082178;-0,008773;0;1599,993152;154,017062
16.8.2026 08:59:59,56s;79;50,000348;-0,005296;65,000000;130,000000;-0,013890;0,006573;0;1599,524351;153,975459
16.8.2026 08:59:59,58s;80;49,999936;-0,024342;65,000000;130,000000;-0,058742;0,015568;0;1600,060708;153,994468
16.8.2026 08:59:59,6s;81;50,000282;-0,005626;65,000000;130,000000;-0,011863;-0,004390;0;1600,269574;153,998843
16.8.2026 08:59:59,62s;82;49,999786;-0,008142;65,000000;130,000000;-0,004389;-0,013001;0;1599,900526;154,019186
16.8.2026 08:59:59,64s;83;49,999589;0,065157;65,000000;130,000000;0,052307;-0,001476;0;1600,198289;154,016749
16.8.2026 08:59:59,66s;84;50,000864;-0,058330;65,000000;130,000000;-0,037280;-0,007443;0;1599,659991;154,052074
16.8.2026 08:59:59,68s;85;50,000300;-0,046727;65,000000;130,000001;-0,024815;0,002542;0;1599,841515;153,996246
16.8.2026 08:59:59,7s;86;49,999929;-0,019306;65,000000;130,000001;-0,006742;-0,028868;0;1600,178467;153,961751
16.8.2026 08:59:59,72s;87;49,998782;0,002799;65,000000;130,000001;0,013584;-0,006382;0;1599,903437;153,952869
16.8.2026 08:59:59,74s;88;49,999434;0,029720;65,000000;130,000001;0,003445;-0,012015;0;1600,470349;154,011358
16.8.2026 08:59:59,76s;89;50,000642;0,038282;65,000000;130,000000;0,055615;0,011591;0;1599,928707;153,983506
16.8.2026 08:59:59,78s;90;50,000953;0,064978;65,000000;130,000000;0,060511;-0,002148;0;1599,885804;153,993263
16.8.2026 08:59:59,8s;91;49,999105;0,027864;65,000000;130,000000;0,071458;-0,010683;0;1600,397948;153,986586
16.8.2026 08:59:59,82s;92;50,000681;-0,007544;65,000000;130,000000;0,029053;0,001414;0;1599,694448;154,004371
16.8.2026 08:59:59,84s;93;49,999190;-0,030032;65,000000;130,000000;-0,044135;0,033374;0;1599,980637;153,977459
16.8.2026 08:59:59,86s;94;50,000032;-0,006333;65,000000;130,000000;-0,000867;0,014019;0;1599,927937;153,985105
16.8.2026 08:59:59,88s;95;50,000211;0,030662;65,000000;130,000000;0,046332;0,000876;0;1600,135662;153,997965
16.8.2026 08:59:59,9s;96;49,999768;-0,026816;65,000000;130,000000;-0,029672;-0,015779;0;1600,046620;153,956717
16.8.2026 08:59:59,92s;97;49,999722;-0,007782;65,000000;130,000000;0,002269;0,002060;0;1599,840990;154,016881
16.8.2026 08:59:59,94s;98;49,999936;-0,015848;65,000000;130,000000;-0,054637;-0,007217;0;1600,395252;154,003100
16.8.2026 08:59:59,96s;99;49,999719;-0,018815;65,000000;130,000000;-0,022678;0,004199;0;1599,863816;154,000979
16.8.2026 08:59:59,98s;100;50,000421;-0,000598;65,000000;130,000000;0,031047;0,007309;0;1599,780311;153,997070
16.8.2026 09:00:00,0s;101;49,998310;-0,060281;65,000000;130,000001;-0,052239;-0,756332;1;1600,277359;153,987148
16.8.2026 09:00:00,02s;102;50,000461;0,892454;64,999998;129,999996;0,910620;-0,693740;1;1596,084417;153,999946
16.8.2026 09:00:00,04s;103;50,000250;3,081529;64,999989;129,999978;3,121167;-0,616166;1;1585,311003;153,986425
16.8.2026 09:00:00,06s;104;49,999926;6,345282;64,999972;129,999943;6,425690;-0,523719;1;1569,932530;153,971971
16.8.2026 09:00:00,08s;105;50,000229;10,014454;64,999944;129,999888;10,185019;-0,481130;1;1552,519485;154,016488
16.8.2026 09:00:00,1s;106;50,000575;13,706896;64,999906;129,999811;13,941077;-0,443829;1;1534,968680;153,977452
16.8.2026 09:00:00,12s;107;49,999885;16,907315;64,999859;129,999718;17,141376;-0,396249;1;1519,659526;154,018954
16.8.2026 09:00:00,14s;108;49,999746;19,142676;64,999806;129,999611;19,443595;-0,330002;1;1509,237901;153,996169
16.8.2026 09:00:00,16s;109;50,000433;19,957018;64,999750;129,999500;20,215391;-0,315722;1;1504,678209;154,031035
16.8.2026 09:00:00,18s;110;49,999682;20,061812;64,999694;129,999389;20,348348;-0,282649;1;1505,150802;153,996205
16.8.2026 09:00:00,2s;111;49,999283;20,018504;64,999639;129,999278;20,389252;-0,253119;1;1504,853730;154,009351
16.8.2026 09:00:00,22s;112;49,999727;20,012647;64,999583;129,999166;20,272642;-0,200056;1;1504,729607;154,044052
16.8.2026 09:00:00,24s;113;50,000531;19,996007;64,999528;129,999055;20,295522;-0,186432;1;1505,212353;154,024482
16.8.2026 09:00:00,26s;114;49,999729;19,967048;64,999472;129,998944;20,256315;-0,190218;1;1505,105911;153,996183
16.8.2026 09:00:00,28s;115;50,000695;19,981806;64,999417;129,998833;20,309467;-0,164498;1;1504,840772;154,013803
16.8.2026 09:00:00,3s;116;50,000078;19,991173;64,999361;129,998722;20,249604;-0,161829;1;1504,860759;154,012291
16.8.2026 09:00:00,32s;117;49,999751;19,991620;64,999306;129,998611;20,368914;-0,112755;1;1504,889177;154,034320
16.8.2026 09:00:00,34s;118;50,000239;20,023210;64,999250;129,998500;20,335509;-0,141376;1;1504,742182;154,034021
16.8.2026 09:00:00,36s;119;49,999902;20,007401;64,999194;129,998389;20,346018;-0,072505;1;1505,141452;154,004012
16.8.2026 09:00:00,38s;120;50,000667;19,993306;64,999139;129,998278;20,278434;-0,105869;1;1504,947699;153,990213
16.8.2026 09:00:00,4s;121;49,999093;19,989038;64,999083;129,998167;20,370272;-0,095004;1;1505,080729;154,009238
16.8.2026 09:00:00,42s;122;50,000118;19,967572;64,999028;129,998056;20,299035;-0,067701;1;1504,765231;153,975206
16.8.2026 09:00:00,44s;123;49,999388;19,955240;64,998972;129,997945;20,242694;-0,043268;1;1504,782304;154,030329
16.8.2026 09:00:00,46s;124;49,999623;20,019248;64,998917;129,997834;20,279437;-0,052633;1;1504,854583;153,993810
16.8.2026 09:00:00,48s;125;49,999531;19,974760;64,998861;129,997723;20,261534;-0,038547;1;1505,187092;153,969626
16.8.2026 09:00:00,5s;126;50,000175;20,055028;64,998806;129,997611;20,364684;-0,061449;1;1505,059928;154,030164
16.8.2026 09:00:00,52s;127;50,000636;20,017004;64,998750;129,997500;20,382836;-0,036052;1;1504,686632;154,007996
16.8.2026 09:00:00,54s;128;50,000638;20,036435;64,998694;129,997389;20,393087;-0,042024;1;1505,183141;154,002508
16.8.2026 09:00:00,56s;129;50,000676;19,971347;64,998639;129,997278;20,241755;-0,035042;1;1505,061480;154,034437
16.8.2026 09:00:00,58s;130;50,000106;20,002411;64,998583;129,997167;20,324862;-0,030609;1;1505,035866;154,018169
16.8.2026 09:00:00,6s;131;49,999729;20,004321;64,998528;129,997056;20,307249;0,000409;1;1504,857564;153,981641
16.8.2026 09:00:00,62s;132;50,000095;19,952446;64,998472;129,996945;20,233083;-0,035110;1;1504,920460;154,021120
16.8.2026 09:00:00,64s;133;50,000731;20,026547;64,998417;129,996834;20,326930;-0,050795;1;1505,477483;153,997746
16.8.2026 09:00:00,66s;134;49,999718;20,005749;64,998361;129,996722;20,276556;-0,038133;1;1505,012725;154,012261
16.8.2026 09:00:00,68s;135;49,999845;19,995353;64,998306;129,996611;20,283918;-0,039072;1;1505,230101;153,984467
16.8.2026 09:00:00,7s;136;49,999147;19,969518;64,998250;129,996500;20,258480;-0,016411;1;1504,944313;153,988375
16.8.2026 09:00:00,72s;137;49,999434;20,023580;64,998195;129,996389;20,356316;0,004171;1;1504,991637;153,972360
16.8.2026 09:00:00,74s;138;49,999843;20,034137;64,998139;129,996278;20,352946;-0,014458;1;1504,849547;154,023803
16.8.2026 09:00:00,76s;139;49,999622;19,981881;64,998083;129,996167;20,310585;0,003093;1;1505,245821;153,961565
16.8.2026 09:00:00,78s;140;50,000004;19,960424;64,998028;129,996056;20,238211;-0,008396;1;1504,946214;153,990305
16.8.2026 09:00:00,8s;141;49,999854;19,943039;64,997973;129,995945;20,223697;-0,018622;1;1505,191640;153,986403
16.8.2026 09:00:00,82s;142;50,000264;19,977034;64,997917;129,995834;20,312903;-0,010287;1;1505,035045;154,002687
16.8.2026 09:00:00,84s;143;50,001114;19,992584;64,997862;129,995723;20,252103;-0,004331;1;1505,159735;154,000224
16.8.2026 09:00:00,86s;144;50,000256;19,979658;64,997806;129,995612;20,297647;-0,012339;1;1504,942607;154,036762
16.8.2026 09:00:00,88s;145;49,999774;20,005089;64,997750;129,995501;20,304100;-0,036746;1;1504,796625;154,007947
16.8.2026 09:00:00,9s;146;50,000211;19,997809;64,997695;129,995390;20,293450;-0,016114;1;1504,803181;154,010879
16.8.2026 09:00:00,92s;147;49,999817;19,984577;64,997639;129,995279;20,298607;0,009346;1;1505,310501;154,042635
16.8.2026 09:00:00,94s;148;49,999803;19,993767;64,997584;129,995168;20,298688;-0,019844;1;1505,235958;154,017133
16.8.2026 09:00:00,96s;149;49,998458;20,074828;64,997528;129,995056;20,388202;-0,017292;1;1505,121560;153,980374
16.8.2026 09:00:00,98s;150;50,000033;20,061089;64,997472;129,994945;20,411740;0,000257;1;1505,178411;153,990661
16.8.2026 09:00:01,0s;151;50,000255;19,994742;64,997417;129,994834;20,269092;-0,011344;1;1504,917796;153,992270
16.8.2026 09:00:01,02s;152;50,000621;20,021422;64,997361;129,994722;20,282059;0,006865;1;1504,878351;153,994038
16.8.2026 09:00:01,04s;153;49,999784;19,969462;64,997306;129,994612;20,335099;0,011542;1;1504,821847;154,025476
16.8.2026 09:00:01,06s;154;50,001235;19,968036;64,997250;129,994501;20,244238;-0,023471;1;1504,985723;153,993020
16.8.2026 09:00:01,08s;155;49,999216;20,067575;64,997195;129,994389;20,402956;0,008051;1;1505,168672;154,002142
16.8.2026 09:00:01,1s;156;49,999312;20,054720;64,997139;129,994278;20,403020;0,008107;1;1504,718326;153,965837
16.8.2026 09:00:01,12s;157;49,999984;20,018639;64,997083;129,994166;20,364563;-0,007073;1;1505,083363;154,009270
16.8.2026 09:00:01,14s;158;50,000368;19,968340;64,997028;129,994056;20,297045;0,003207;1;1505,168833;153,975654
16.8.2026 09:00:01,16s;159;49,999327;20,053463;64,996972;129,993944;20,384116;0,018012;1;1504,744688;153,989895
16.8.2026 09:00:01,18s;160;50,000217;20,044470;64,996916;129,993833;20,359804;-0,020849;1;1505,265183;154,001842
16.8.2026 09:00:01,2s;161;49,999579;19,980772;64,996861;129,993722;20,314115;0,000450;1;1504,836113;154,014978
16.8.2026 09:00:01,22s;162;50,000697;20,022971;64,996805;129,993611;20,368516;0,000980;1;1505,037828;153,997993
16.8.2026 09:00:01,24s;163;50,000373;20,040873;64,996750;129,993499;20,339841;-0,003441;1;1505,225247;153,987788
16.8.2026 09:00:01,26s;164;50,000776;20,044925;64,996694;129,993388;20,338929;-0,008533;1;1505,261758;153,976450
16.8.2026 09:00:01,28s;165;49,999950;20,050114;64,996638;129,993276;20,268734;-0,010140;1;1505,123929;154,049630
16.8.2026 09:00:01,3s;166;49,999484;19,994285;64,996583;129,993165;20,270741;0,005671;1;1504,949820;153,967495
16.8.2026 09:00:01,32s;167;49,999893;20,001730;64,996527;129,993054;20,321069;0,017409;1;1505,038220;153,971949
16.8.2026 09:00:01,34s;168;50,000834;19,973560;64,996472;129,992943;20,342609;-0,013824;1;1504,361566;154,021845
16.8.2026 09:00:01,36s;169;50,000609;19,921658;64,996416;129,992833;20,250950;0,008896;1;1505,008437;154,033933
16.8.2026 09:00:01,38s;170;49,999884;19,986488;64,996361;129,992722;20,267518;-0,007388;1;1505,239102;153,981272
16.8.2026 09:00:01,4s;171;50,000240;20,007065;64,996305;129,992610;20,271976;-0,029955;1;1505,327444;154,035335
16.8.2026 09:00:01,42s;172;50,000297;19,985123;64,996250;129,992499;20,307748;0,016297;1;1505,324714;154,030126
16.8.2026 09:00:01,44s;173;49,999485;19,951166;64,996194;129,992389;20,251452;0,002040;1;1504,947315;154,003203
16.8.2026 09:00:01,46s;174;50,000127;19,990138;64,996139;129,992277;20,273277;0,013210;1;1504,767946;154,005490
16.8.2026 09:00:01,48s;175;50,000935;19,931802;64,996083;129,992167;20,240738;-0,002382;1;1504,907180;154,041878
16.8.2026 09:00:01,5s;176;50,000934;19,972541;64,996028;129,992056;20,290659;0,013906;1;1504,987606;153,978382
16.8.2026 09:00:01,52s;177;49,999648;19,974341;64,995972;129,991945;20,216198;-0,000612;1;1504,754530;154,001824
16.8.2026 09:00:01,54s;178;50,000967;20,014761;64,995917;129,991834;20,238685;-0,016114;1;1505,559868;153,967953
16.8.2026 09:00:01,56s;179;49,999821;20,000518;64,995861;129,991723;20,295281;-0,018498;1;1505,307321;154,004104
16.8.2026 09:00:01,58s;180;50,000462;20,004839;64,995806;129,991611;20,286657;0,004653;1;1505,033816;154,005115
16.8.2026 09:00:01,6s;181;49,999592;20,021764;64,995750;129,991500;20,355563;0,000019;1;1505,096592;154,017990
16.8.2026 09:00:01,62s;182;49,999638;20,025866;64,995694;129,991389;20,321899;0,000840;1;1504,998238;154,003898
16.8.2026 09:00:01,64s;183;50,000708;19,954227;64,995639;129,991278;20,285525;0,015614;1;1504,956817;154,044408
16.8.2026 09:00:01,66s;184;50,000838;19,964939;64,995584;129,991167;20,252124;0,013532;1;1505,156018;153,965747
16.8.2026 09:00:01,68s;185;49,999642;20,103410;64,995528;129,991055;20,416256;0,015348;1;1505,139228;154,011166
16.8.2026 09:00:01,7s;186;50,000348;20,005985;64,995472;129,990944;20,311173;0,028637;1;1504,754345;153,985121
16.8.2026 09:00:01,72s;187;50,000036;19,970039;64,995417;129,990833;20,256429;-0,001862;1;1504,839229;153,962981
16.8.2026 09:00:01,74s;188;50,000278;20,016040;64,995361;129,990722;20,346152;-0,022426;1;1505,198792;154,000419
16.8.2026 09:00:01,76s;189;50,000056;20,027151;64,995305;129,990611;20,312598;0,015501;1;1504,748116;154,029875
16.8.2026 09:00:01,78s;190;49,999856;20,011191;64,995250;129,990500;20,311548;-0,039045;1;1504,868974;153,975151
16.8.2026 09:00:01,8s;191;49,999944;19,949426;64,995194;129,990389;20,266165;-0,012760;1;1505,208761;153,996552
16.8.2026 09:00:01,82s;192;50,000604;19,965435;64,995139;129,990278;20,265881;0,018151;1;1505,185982;153,977330
16.8.2026 09:00:01,84s;193;50,000374;20,003083;64,995083;129,990167;20,315512;0,014785;1;1505,303186;153,978786
16.8.2026 09:00:01,86s;194;50,000913;19,929803;64,995028;129,990056;20,240633;0,003897;1;1505,082108;154,009558
16.8.2026 09:00:01,88s;195;50,000339;19,916264;64,994973;129,989945;20,207665;-0,003387;1;1504,821105;153,962239
16.8.2026 09:00:01,9s;196;49,999765;20,037889;64,994917;129,989834;20,322722;0,000713;1;1505,078855;154,022724
16.8.2026 09:00:01,92s;197;49,999183;19,965975;64,994862;129,989723;20,254802;-0,004471;1;1504,901574;153,992291
16.8.2026 09:00:01,94s;198;50,000480;20,044496;64,994806;129,989612;20,345135;0,025489;1;1505,017452;153,988262
16.8.2026 09:00:01,96s;199;50,000316;19,981202;64,994750;129,989501;20,267450;0,005105;1;1505,087879;153,988134
16.8.2026 09:00:01,98s;200;49,999914;19,999723;64,994695;129,989390;20,286452;0,003923;1;1505,537636;154,007389
16.8.2026 09:00:02,0s;201;49,999731;20,010056;64,994639;129,989279;20,306824;-0,008913;1;1504,791223;154,001120
16.8.2026 09:00:02,02s;202;49,999335;20,041214;64,994584;129,989167;20,385624;0,004381;1;1504,999658;154,001082
16.8.2026 09:00:02,04s;203;49,999258;19,956440;64,994528;129,989056;20,270690;-0,001633;1;1505,152512;154,029503
16.8.2026 09:00:02,06s;204;49,999870;19,968234;64,994473;129,988945;20,277646;-0,016225;1;1504,661434;154,004383
16.8.2026 09:00:02,08s;205;50,000554;20,037015;64,994417;129,988834;20,332803;0,016345;1;1504,846885;153,971231
