# YHDA_VERSION=0.7.1
# TEST_SERVICE=SFHM
# PLANT_TYPE=EDUEDT
# STEP_ID=LFSM_O_50_4
# STEP_NAME=Sınırlı frekans hassasiyet modu — yüksek frekans / 50,4 Hz
# TESIS_ADI=YHDA Örnek SFHM EDT
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=100.0
# NOMINAL_VOLTAGE_KV=154.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YDA v0.7.1
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=100
# SFHM_RESERVE_MW=20
# DROOP_PERCENT=4
# ENERGY_CAPACITY_MWH=200
# SOC_INITIAL_PERCENT=65
# YDA_VERSION=0.7.1
ZAMAN;SIRA_NO;grid_frequency_hz;active_power_mw;active_power_reference_mw;reserve_mw;soc_pct;stored_energy_mwh;dc_power_mw
16.8.2026 08:59:43,6s;37;49,999640;55,047544;55,000000;20;64,971731;129,943462;55,703606
16.8.2026 08:59:43,7s;38;50,000108;54,993984;55,000000;20;64,970967;129,941934;55,670726
16.8.2026 08:59:43,8s;39;49,999966;55,005253;55,000000;20;64,970203;129,940406;55,692333
16.8.2026 08:59:43,9s;40;49,999959;54,980271;55,000000;20;64,969440;129,938879;55,661313
16.8.2026 08:59:44,0s;41;49,999972;55,005085;55,000000;20;64,968676;129,937351;55,695471
16.8.2026 08:59:44,1s;42;50,000238;54,996779;55,000000;20;64,967912;129,935824;55,681186
16.8.2026 08:59:44,2s;43;49,999709;54,943986;55,000000;20;64,967149;129,934297;55,603391
16.8.2026 08:59:44,3s;44;49,999445;54,948059;55,000000;20;64,966386;129,932771;55,637696
16.8.2026 08:59:44,4s;45;50,000473;55,025929;55,000000;20;64,965621;129,931243;55,668399
16.8.2026 08:59:44,5s;46;50,000079;54,978921;55,000000;20;64,964858;129,929715;55,703010
16.8.2026 08:59:44,6s;47;49,999868;55,081297;55,000000;20;64,964093;129,928185;55,737431
16.8.2026 08:59:44,7s;48;50,000041;54,946544;55,000000;20;64,963330;129,926659;55,601386
16.8.2026 08:59:44,8s;49;49,999851;54,885716;55,000000;20;64,962567;129,925134;55,520393
16.8.2026 08:59:44,9s;50;49,999701;54,926005;55,000000;20;64,961804;129,923609;55,631717
16.8.2026 08:59:45,0s;51;50,000028;54,914804;55,000000;20;64,961042;129,922083;55,592058
16.8.2026 08:59:45,1s;52;50,000446;55,014018;55,000000;20;64,960278;129,920555;55,675734
16.8.2026 08:59:45,2s;53;49,999638;54,917916;55,000000;20;64,959515;129,919030;55,585026
16.8.2026 08:59:45,3s;54;49,999668;54,984788;55,000000;20;64,958751;129,917502;55,634141
16.8.2026 08:59:45,4s;55;49,999814;54,994123;55,000000;20;64,957987;129,915975;55,574980
16.8.2026 08:59:45,5s;56;49,999821;54,960424;55,000000;20;64,957224;129,914448;55,572617
16.8.2026 08:59:45,6s;57;50,000142;54,919018;55,000000;20;64,956461;129,912922;55,602082
16.8.2026 08:59:45,7s;58;49,999298;54,957932;55,000000;20;64,955698;129,911396;55,597299
16.8.2026 08:59:45,8s;59;49,999801;55,117259;55,000000;20;64,954932;129,909865;55,798196
16.8.2026 08:59:45,9s;60;49,999193;54,937553;55,000000;20;64,954169;129,908339;55,626319
16.8.2026 08:59:46,0s;61;49,999994;54,996935;55,000000;20;64,953406;129,906811;55,676154
16.8.2026 08:59:46,1s;62;50,000137;55,018717;55,000000;20;64,952641;129,905283;55,693635
16.8.2026 08:59:46,2s;63;49,999640;55,023609;55,000000;20;64,951877;129,903754;55,651086
16.8.2026 08:59:46,3s;64;50,000146;54,968628;55,000000;20;64,951114;129,902227;55,617279
16.8.2026 08:59:46,4s;65;49,999115;54,986654;55,000000;20;64,950350;129,900700;55,629392
16.8.2026 08:59:46,5s;66;49,999765;55,087983;55,000000;20;64,949585;129,899170;55,803058
16.8.2026 08:59:46,6s;67;50,000141;54,936232;55,000000;20;64,948822;129,897644;55,614595
16.8.2026 08:59:46,7s;68;50,000489;54,988508;55,000000;20;64,948058;129,896116;55,668611
16.8.2026 08:59:46,8s;69;49,999699;54,995296;55,000000;20;64,947294;129,894589;55,680730
16.8.2026 08:59:46,9s;70;49,999624;54,985533;55,000000;20;64,946531;129,893061;55,662754
16.8.2026 08:59:47,0s;71;50,000000;54,953347;55,000000;20;64,945767;129,891535;55,572785
16.8.2026 08:59:47,1s;72;49,999739;55,001021;55,000000;20;64,945004;129,890007;55,666492
16.8.2026 08:59:47,2s;73;50,000039;55,010697;55,000000;20;64,944239;129,888479;55,717650
16.8.2026 08:59:47,3s;74;49,999872;55,066163;55,000000;20;64,943475;129,886949;55,700784
16.8.2026 08:59:47,4s;75;50,000489;54,912227;55,000000;20;64,942712;129,885424;55,596394
16.8.2026 08:59:47,5s;76;49,999632;55,019670;55,000000;20;64,941948;129,883896;55,700548
16.8.2026 08:59:47,6s;77;50,000399;54,972777;55,000000;20;64,941184;129,882369;55,605555
16.8.2026 08:59:47,7s;78;50,000208;55,044268;55,000000;20;64,940420;129,880840;55,773535
16.8.2026 08:59:47,8s;79;49,999524;54,987976;55,000000;20;64,939656;129,879312;55,664649
16.8.2026 08:59:47,9s;80;50,000089;55,025378;55,000000;20;64,938892;129,877784;55,697825
16.8.2026 08:59:48,0s;81;49,999838;55,053412;55,000000;20;64,938127;129,876254;55,760339
16.8.2026 08:59:48,1s;82;49,999967;55,102778;55,000000;20;64,937362;129,874724;55,761142
16.8.2026 08:59:48,2s;83;49,999989;55,094771;55,000000;20;64,936597;129,873193;55,727524
16.8.2026 08:59:48,3s;84;50,000400;55,042180;55,000000;20;64,935832;129,871664;55,669944
16.8.2026 08:59:48,4s;85;50,000036;55,109883;55,000000;20;64,935067;129,870134;55,763364
16.8.2026 08:59:48,5s;86;49,999772;54,799462;55,000000;20;64,934306;129,868611;55,447312
16.8.2026 08:59:48,6s;87;49,999959;54,986599;55,000000;20;64,933542;129,867084;55,626404
16.8.2026 08:59:48,7s;88;50,000444;54,996812;55,000000;20;64,932778;129,865556;55,626501
16.8.2026 08:59:48,8s;89;49,999918;54,971396;55,000000;20;64,932015;129,864029;55,644745
16.8.2026 08:59:48,9s;90;50,000092;55,055275;55,000000;20;64,931250;129,862500;55,683597
16.8.2026 08:59:49,0s;91;49,999966;55,060526;55,000000;20;64,930485;129,860971;55,724420
16.8.2026 08:59:49,1s;92;50,000488;55,022502;55,000000;20;64,929721;129,859442;55,740755
16.8.2026 08:59:49,2s;93;49,999695;54,962965;55,000000;20;64,928958;129,857915;55,586641
16.8.2026 08:59:49,3s;94;49,999733;55,038181;55,000000;20;64,928193;129,856387;55,695932
16.8.2026 08:59:49,4s;95;49,999974;55,023489;55,000000;20;64,927429;129,854858;55,720498
16.8.2026 08:59:49,5s;96;50,000484;55,031558;55,000000;20;64,926665;129,853329;55,687385
16.8.2026 08:59:49,6s;97;49,999982;54,942797;55,000000;20;64,925902;129,851803;55,609618
16.8.2026 08:59:49,7s;98;49,999523;54,990113;55,000000;20;64,925138;129,850276;55,645707
16.8.2026 08:59:49,8s;99;49,999483;55,042089;55,000000;20;64,924373;129,848747;55,671200
16.8.2026 08:59:49,9s;100;49,999871;55,031487;55,000000;20;64,923609;129,847218;55,644587
16.8.2026 08:59:50,0s;101;50,000263;54,993818;55,000000;20;64,922845;129,845691;55,651213
16.8.2026 08:59:50,1s;102;49,999685;54,995795;55,000000;20;64,922081;129,844163;55,681090
16.8.2026 08:59:50,2s;103;49,999800;55,056814;55,000000;20;64,921317;129,842634;55,752959
16.8.2026 08:59:50,3s;104;50,000023;55,041505;55,000000;20;64,920552;129,841105;55,663815
16.8.2026 08:59:50,4s;105;49,999980;55,001678;55,000000;20;64,919788;129,839577;55,692110
16.8.2026 08:59:50,5s;106;50,000154;54,918012;55,000000;20;64,919026;129,838051;55,647585
16.8.2026 08:59:50,6s;107;50,000034;54,958031;55,000000;20;64,918262;129,836525;55,627074
16.8.2026 08:59:50,7s;108;50,000239;54,904773;55,000000;20;64,917500;129,835000;55,572044
16.8.2026 08:59:50,8s;109;50,000041;54,946469;55,000000;20;64,916737;129,833473;55,617678
16.8.2026 08:59:50,9s;110;50,000547;54,948524;55,000000;20;64,915973;129,831947;55,600043
16.8.2026 08:59:51,0s;111;50,000088;55,033368;55,000000;20;64,915209;129,830418;55,680939
16.8.2026 08:59:51,1s;112;50,000335;55,011951;55,000000;20;64,914445;129,828890;55,602855
16.8.2026 08:59:51,2s;113;50,000149;55,037901;55,000000;20;64,913681;129,827361;55,734502
16.8.2026 08:59:51,3s;114;50,000147;55,029050;55,000000;20;64,912916;129,825833;55,673428
16.8.2026 08:59:51,4s;115;49,999601;55,029531;55,000000;20;64,912152;129,824304;55,705853
16.8.2026 08:59:51,5s;116;49,999681;54,919539;55,000000;20;64,911389;129,822779;55,587344
16.8.2026 08:59:51,6s;117;50,000077;54,997009;55,000000;20;64,910625;129,821251;55,613880
16.8.2026 08:59:51,7s;118;49,999919;54,961213;55,000000;20;64,909862;129,819724;55,600044
16.8.2026 08:59:51,8s;119;49,999988;54,976306;55,000000;20;64,909099;129,818197;55,672536
16.8.2026 08:59:51,9s;120;49,999635;54,913580;55,000000;20;64,908336;129,816672;55,577284
16.8.2026 08:59:52,0s;121;49,999613;55,084405;55,000000;20;64,907571;129,815142;55,757965
16.8.2026 08:59:52,1s;122;49,999880;55,032304;55,000000;20;64,906806;129,813613;55,690061
16.8.2026 08:59:52,2s;123;49,999867;55,058331;55,000000;20;64,906042;129,812083;55,713123
16.8.2026 08:59:52,3s;124;50,000075;55,060808;55,000000;20;64,905277;129,810554;55,759715
16.8.2026 08:59:52,4s;125;49,999970;55,058789;55,000000;20;64,904512;129,809025;55,757562
16.8.2026 08:59:52,5s;126;49,999459;54,936386;55,000000;20;64,903749;129,807499;55,605696
16.8.2026 08:59:52,6s;127;49,999903;54,971181;55,000000;20;64,902986;129,805972;55,650238
16.8.2026 08:59:52,7s;128;50,000049;54,954759;55,000000;20;64,902223;129,804445;55,604764
16.8.2026 08:59:52,8s;129;49,999932;54,981997;55,000000;20;64,901459;129,802918;55,588782
16.8.2026 08:59:52,9s;130;50,000407;54,986877;55,000000;20;64,900695;129,801390;55,633672
16.8.2026 08:59:53,0s;131;49,999873;54,997131;55,000000;20;64,899931;129,799863;55,660318
16.8.2026 08:59:53,1s;132;50,000237;54,969406;55,000000;20;64,899168;129,798336;55,641438
16.8.2026 08:59:53,2s;133;49,999708;54,914662;55,000000;20;64,898405;129,796810;55,594775
16.8.2026 08:59:53,3s;134;50,000300;54,851287;55,000000;20;64,897643;129,795287;55,519278
16.8.2026 08:59:53,4s;135;49,999990;55,073445;55,000000;20;64,896878;129,793757;55,763534
16.8.2026 08:59:53,5s;136;50,000527;54,960723;55,000000;20;64,896115;129,792230;55,589025
16.8.2026 08:59:53,6s;137;50,000560;55,048593;55,000000;20;64,895351;129,790701;55,693955
16.8.2026 08:59:53,7s;138;49,999863;55,031829;55,000000;20;64,894586;129,789172;55,631565
16.8.2026 08:59:53,8s;139;50,000505;55,008035;55,000000;20;64,893822;129,787644;55,663630
16.8.2026 08:59:53,9s;140;49,999823;55,027014;55,000000;20;64,893058;129,786116;55,716152
16.8.2026 08:59:54,0s;141;50,000103;54,990406;55,000000;20;64,892294;129,784588;55,643808
16.8.2026 08:59:54,1s;142;49,999680;55,050640;55,000000;20;64,891530;129,783059;55,716756
16.8.2026 08:59:54,2s;143;50,000500;54,949768;55,000000;20;64,890766;129,781533;55,570132
16.8.2026 08:59:54,3s;144;50,000292;55,020861;55,000000;20;64,890002;129,780004;55,615707
16.8.2026 08:59:54,4s;145;49,999518;55,053283;55,000000;20;64,889238;129,778475;55,701827
16.8.2026 08:59:54,5s;146;49,999732;55,023001;55,000000;20;64,888473;129,776947;55,704312
16.8.2026 08:59:54,6s;147;49,999505;55,055020;55,000000;20;64,887709;129,775417;55,711927
16.8.2026 08:59:54,7s;148;50,000053;54,959860;55,000000;20;64,886945;129,773891;55,613027
16.8.2026 08:59:54,8s;149;49,999975;54,986001;55,000000;20;64,886182;129,772363;55,706118
16.8.2026 08:59:54,9s;150;49,999394;54,985292;55,000000;20;64,885418;129,770836;55,672421
16.8.2026 08:59:55,0s;151;50,000047;54,964903;55,000000;20;64,884655;129,769309;55,636559
16.8.2026 08:59:55,1s;152;50,000002;55,044881;55,000000;20;64,883890;129,767780;55,740493
16.8.2026 08:59:55,2s;153;49,999875;54,992192;55,000000;20;64,883126;129,766253;55,631371
16.8.2026 08:59:55,3s;154;50,000114;55,018960;55,000000;20;64,882362;129,764724;55,708095
16.8.2026 08:59:55,4s;155;49,999919;54,935747;55,000000;20;64,881599;129,763198;55,587653
16.8.2026 08:59:55,5s;156;50,000100;55,067277;55,000000;20;64,880834;129,761669;55,721714
16.8.2026 08:59:55,6s;157;49,999891;55,058051;55,000000;20;64,880070;129,760139;55,755232
16.8.2026 08:59:55,7s;158;49,999441;55,059997;55,000000;20;64,879305;129,758610;55,724743
16.8.2026 08:59:55,8s;159;49,999984;54,914689;55,000000;20;64,878542;129,757084;55,553840
16.8.2026 08:59:55,9s;160;50,000378;55,059346;55,000000;20;64,877778;129,755555;55,777176
16.8.2026 08:59:56,0s;161;50,000359;55,068152;55,000000;20;64,877013;129,754025;55,698547
16.8.2026 08:59:56,1s;162;49,999966;55,062017;55,000000;20;64,876248;129,752496;55,716662
16.8.2026 08:59:56,2s;163;49,999890;54,921351;55,000000;20;64,875485;129,750970;55,541712
16.8.2026 08:59:56,3s;164;49,999969;55,026844;55,000000;20;64,874721;129,749442;55,631239
16.8.2026 08:59:56,4s;165;50,000046;55,073896;55,000000;20;64,873956;129,747912;55,736736
16.8.2026 08:59:56,5s;166;50,000178;55,000836;55,000000;20;64,873192;129,746384;55,640707
16.8.2026 08:59:56,6s;167;50,000384;54,951430;55,000000;20;64,872429;129,744858;55,602178
16.8.2026 08:59:56,7s;168;49,999577;55,064808;55,000000;20;64,871664;129,743328;55,711516
16.8.2026 08:59:56,8s;169;50,000497;54,952203;55,000000;20;64,870901;129,741802;55,591296
16.8.2026 08:59:56,9s;170;50,000313;54,940059;55,000000;20;64,870138;129,740276;55,574532
16.8.2026 08:59:57,0s;171;49,999985;55,051814;55,000000;20;64,869373;129,738746;55,699215
16.8.2026 08:59:57,1s;172;49,999480;54,954050;55,000000;20;64,868610;129,737220;55,588140
16.8.2026 08:59:57,2s;173;49,999908;55,000256;55,000000;20;64,867846;129,735692;55,682343
16.8.2026 08:59:57,3s;174;49,999955;55,011532;55,000000;20;64,867082;129,734164;55,672486
16.8.2026 08:59:57,4s;175;50,000045;55,045347;55,000000;20;64,866317;129,732635;55,683974
16.8.2026 08:59:57,5s;176;50,000280;55,093921;55,000000;20;64,865552;129,731105;55,793740
16.8.2026 08:59:57,6s;177;49,999810;55,037657;55,000000;20;64,864788;129,729576;55,717464
16.8.2026 08:59:57,7s;178;50,000253;55,042706;55,000000;20;64,864023;129,728047;55,672392
16.8.2026 08:59:57,8s;179;49,999690;54,987482;55,000000;20;64,863260;129,726519;55,626038
16.8.2026 08:59:57,9s;180;49,999832;54,977882;55,000000;20;64,862496;129,724992;55,582083
16.8.2026 08:59:58,0s;181;50,000058;54,923061;55,000000;20;64,861733;129,723467;55,575241
16.8.2026 08:59:58,1s;182;49,999966;54,939058;55,000000;20;64,860970;129,721940;55,585479
16.8.2026 08:59:58,2s;183;50,000160;55,082255;55,000000;20;64,860205;129,720410;55,749103
16.8.2026 08:59:58,3s;184;50,000248;55,051019;55,000000;20;64,859441;129,718881;55,727960
16.8.2026 08:59:58,4s;185;49,999525;54,922559;55,000000;20;64,858678;129,717356;55,605722
16.8.2026 08:59:58,5s;186;49,999796;55,038886;55,000000;20;64,857913;129,715827;55,744166
16.8.2026 08:59:58,6s;187;49,999951;55,023792;55,000000;20;64,857149;129,714298;55,663628
16.8.2026 08:59:58,7s;188;50,000554;54,932822;55,000000;20;64,856386;129,712772;55,575073
16.8.2026 08:59:58,8s;189;49,999517;55,037813;55,000000;20;64,855622;129,711244;55,714915
16.8.2026 08:59:58,9s;190;49,999734;55,001994;55,000000;20;64,854858;129,709716;55,688636
16.8.2026 08:59:59,0s;191;50,000277;54,948031;55,000000;20;64,854095;129,708189;55,609340
16.8.2026 08:59:59,1s;192;50,000122;55,020936;55,000000;20;64,853330;129,706661;55,671995
16.8.2026 08:59:59,2s;193;49,999427;54,987594;55,000000;20;64,852567;129,705134;55,643410
16.8.2026 08:59:59,3s;194;50,000098;55,014584;55,000000;20;64,851803;129,703605;55,701438
16.8.2026 08:59:59,4s;195;50,000059;54,996212;55,000000;20;64,851039;129,702078;55,670678
16.8.2026 08:59:59,5s;196;49,999804;54,952388;55,000000;20;64,850276;129,700551;55,654089
16.8.2026 08:59:59,6s;197;49,999795;55,003642;55,000000;20;64,849512;129,699023;55,648573
16.8.2026 08:59:59,7s;198;49,999682;54,979508;55,000000;20;64,848748;129,697496;55,667407
16.8.2026 08:59:59,8s;199;49,999875;54,922712;55,000000;20;64,847985;129,695971;55,581648
16.8.2026 08:59:59,9s;200;50,000219;54,996255;55,000000;20;64,847221;129,694443;55,691510
16.8.2026 09:00:00,0s;201;50,400302;54,955142;55,000000;20;64,846458;129,692916;55,623797
16.8.2026 09:00:00,1s;202;50,400306;54,936260;55,000000;20;64,845695;129,691390;55,596245
16.8.2026 09:00:00,2s;203;50,399684;55,047446;55,000000;20;64,844931;129,689861;55,694596
16.8.2026 09:00:00,3s;204;50,399928;55,000094;55,000000;20;64,844167;129,688333;55,674113
16.8.2026 09:00:00,4s;205;50,399646;54,985203;55,000000;20;64,843403;129,686806;55,671575
16.8.2026 09:00:00,5s;206;50,399892;55,041838;55,000000;20;64,842639;129,685277;55,710861
16.8.2026 09:00:00,6s;207;50,399698;54,940013;55,000000;20;64,841876;129,683751;55,615078
16.8.2026 09:00:00,7s;208;50,400082;54,966495;55,000000;20;64,841112;129,682224;55,621715
16.8.2026 09:00:00,8s;209;50,400209;55,006638;55,000000;20;64,840348;129,680696;55,656529
16.8.2026 09:00:00,9s;210;50,400245;54,907598;55,000000;20;64,839586;129,679171;55,572706
16.8.2026 09:00:01,0s;211;50,399295;55,008055;55,000000;20;64,838822;129,677643;55,644062
16.8.2026 09:00:01,1s;212;50,399587;54,959102;55,000000;20;64,838058;129,676116;55,610260
16.8.2026 09:00:01,2s;213;50,400115;54,984187;55,000000;20;64,837295;129,674589;55,645042
16.8.2026 09:00:01,3s;214;50,399900;54,966714;55,000000;20;64,836531;129,673062;55,648777
16.8.2026 09:00:01,4s;215;50,399958;54,923301;55,000000;20;64,835768;129,671537;55,559011
16.8.2026 09:00:01,5s;216;50,399911;54,914670;55,000000;20;64,835006;129,670011;55,543536
16.8.2026 09:00:01,6s;217;50,399858;54,902951;55,000000;20;64,834243;129,668486;55,578717
16.8.2026 09:00:01,7s;218;50,400179;54,767455;55,000000;20;64,833482;129,666965;55,427944
16.8.2026 09:00:01,8s;219;50,399965;54,756328;55,000000;20;64,832722;129,665444;55,444577
16.8.2026 09:00:01,9s;220;50,400108;54,714521;55,000000;20;64,831962;129,663924;55,391714
16.8.2026 09:00:02,0s;221;50,399705;54,624775;55,000000;20;64,831203;129,662407;55,302308
16.8.2026 09:00:02,1s;222;50,400054;54,685713;55,000000;20;64,830444;129,660887;55,286598
16.8.2026 09:00:02,2s;223;50,399896;54,526981;55,000000;20;64,829686;129,659373;55,196274
16.8.2026 09:00:02,3s;224;50,399840;54,517388;55,000000;20;64,828929;129,657858;55,143449
16.8.2026 09:00:02,4s;225;50,399472;54,563843;55,000000;20;64,828171;129,656343;55,249043
16.8.2026 09:00:02,5s;226;50,399672;54,384669;55,000000;20;64,827416;129,654832;55,021539
16.8.2026 09:00:02,6s;227;50,400519;54,387513;55,000000;20;64,826661;129,653321;55,033164
16.8.2026 09:00:02,7s;228;50,399840;54,313260;55,000000;20;64,825906;129,651813;54,910703
16.8.2026 09:00:02,8s;229;50,399940;54,234486;55,000000;20;64,825153;129,650306;54,918445
16.8.2026 09:00:02,9s;230;50,399712;54,196854;55,000000;20;64,824400;129,648801;54,882517
16.8.2026 09:00:03,0s;231;50,399921;54,107705;55,000000;20;64,823649;129,647298;54,743233
16.8.2026 09:00:03,1s;232;50,399878;54,030315;55,000000;20;64,822898;129,645797;54,650427
16.8.2026 09:00:03,2s;233;50,400217;54,087586;55,000000;20;64,822147;129,644294;54,776536
16.8.2026 09:00:03,3s;234;50,400053;53,919395;55,000000;20;64,821398;129,642797;54,573274
16.8.2026 09:00:03,4s;235;50,399920;53,923577;55,000000;20;64,820649;129,641299;54,577076
16.8.2026 09:00:03,5s;236;50,400041;53,703184;55,000000;20;64,819903;129,639807;54,393503
16.8.2026 09:00:03,6s;237;50,400274;53,727323;55,000000;20;64,819157;129,638315;54,341462
16.8.2026 09:00:03,7s;238;50,400503;53,722227;55,000000;20;64,818411;129,636822;54,365613
16.8.2026 09:00:03,8s;239;50,400029;53,635187;55,000000;20;64,817666;129,635332;54,272772
16.8.2026 09:00:03,9s;240;50,400278;53,470538;55,000000;20;64,816924;129,633847;54,112334
16.8.2026 09:00:04,0s;241;50,400573;53,446672;55,000000;20;64,816181;129,632362;54,018956
16.8.2026 09:00:04,1s;242;50,400172;53,321273;55,000000;20;64,815441;129,630881;53,911733
16.8.2026 09:00:04,2s;243;50,399715;53,205179;55,000000;20;64,814702;129,629403;53,831794
16.8.2026 09:00:04,3s;244;50,400088;53,070396;55,000000;20;64,813965;129,627929;53,726288
16.8.2026 09:00:04,4s;245;50,399829;53,075814;55,000000;20;64,813227;129,626455;53,697280
16.8.2026 09:00:04,5s;246;50,400234;52,913249;55,000000;20;64,812493;129,624985;53,561734
16.8.2026 09:00:04,6s;247;50,400113;52,778425;55,000000;20;64,811760;129,623519;53,412692
16.8.2026 09:00:04,7s;248;50,400273;52,749600;55,000000;20;64,811027;129,622054;53,362216
16.8.2026 09:00:04,8s;249;50,399556;52,628571;55,000000;20;64,810296;129,620592;53,287597
16.8.2026 09:00:04,9s;250;50,399722;52,458048;55,000000;20;64,809567;129,619135;53,085135
16.8.2026 09:00:05,0s;251;50,399528;52,474955;55,000000;20;64,808839;129,617677;53,073118
16.8.2026 09:00:05,1s;252;50,400186;52,315951;55,000000;20;64,808112;129,616224;52,970195
16.8.2026 09:00:05,2s;253;50,399461;52,255142;55,000000;20;64,807386;129,614772;52,880739
16.8.2026 09:00:05,3s;254;50,399900;52,221280;55,000000;20;64,806661;129,613322;52,878913
