# YHDA_VERSION=0.7.0
# TEST_SERVICE=PFK
# PLANT_TYPE=EDUEDT
# STEP_ID=BESS_MIN_ENERGY_POS200
# STEP_NAME=Minimum enerji seviyesi — Δf = +200 mHz
# TESIS_ADI=YHDA Örnek EDT
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=100.0
# NOMINAL_VOLTAGE_KV=154.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YDA v0.7.0
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=100
# PLANT_TOTAL_INSTALLED_MW=100.0
# UNIT_PNOM_MW=100.0
# RPMAX_MW=20.0
# RPMIN_MW=5.0
# DROOP_PERCENT=4
# DEADBAND_MHZ=10
# PSET_MAX_MW=20.0
# PSET_MIN_MW=-20.0
# UNIT_NOMINAL_SPEED_RPM=3000
# SIGNAL_GENERATOR=Kontrol sistemi üzerinden frekans simülasyonu
# ENERGY_CAPACITY_MWH=200
# SOC_INITIAL_PERCENT=70
# YDA_VERSION=0.7.0
ZAMAN;SIRA_NO;grid_frequency_hz;test_frequency_hz;active_power_mw;active_power_reference_mw;stored_energy_mwh;soc_pct;dc_power_mw
16.8.2026 08:59:42,3s;24;50,000284;50;10,006800;10;69,993331;34,996665;10,144359
16.8.2026 08:59:42,4s;25;50,000080;50;10,023200;10;69,993053;34,996526;10,129464
16.8.2026 08:59:42,5s;26;50,000162;50;9,968076;10;69,992776;34,996388;10,086589
16.8.2026 08:59:42,6s;27;50,000127;50;10,013796;10;69,992497;34,996249;10,133176
16.8.2026 08:59:42,7s;28;50,000075;50;9,971695;10;69,992220;34,996110;10,114656
16.8.2026 08:59:42,8s;29;49,999976;50;10,035470;10;69,991942;34,995971;10,111721
16.8.2026 08:59:42,9s;30;49,999988;50;9,996052;10;69,991664;34,995832;10,103364
16.8.2026 08:59:43,0s;31;49,999963;50;10,026146;10;69,991386;34,995693;10,131671
16.8.2026 08:59:43,1s;32;50,000391;50;9,951306;10;69,991109;34,995555;10,086803
16.8.2026 08:59:43,2s;33;50,000078;50;9,976179;10;69,990832;34,995416;10,076906
16.8.2026 08:59:43,3s;34;49,999927;50;9,985589;10;69,990555;34,995277;10,155773
16.8.2026 08:59:43,4s;35;49,999848;50;9,998286;10;69,990277;34,995138;10,148116
16.8.2026 08:59:43,5s;36;49,999752;50;9,968989;10;69,990000;34,995000;10,105460
16.8.2026 08:59:43,6s;37;49,999926;50;10,007378;10;69,989722;34,994861;10,133523
16.8.2026 08:59:43,7s;38;49,999802;50;10,027603;10;69,989443;34,994722;10,123782
16.8.2026 08:59:43,8s;39;50,000144;50;10,008777;10;69,989165;34,994583;10,148907
16.8.2026 08:59:43,9s;40;50,000086;50;10,013026;10;69,988887;34,994444;10,148031
16.8.2026 08:59:44,0s;41;49,999906;50;9,984377;10;69,988610;34,994305;10,083929
16.8.2026 08:59:44,1s;42;49,999523;50;9,994477;10;69,988332;34,994166;10,073694
16.8.2026 08:59:44,2s;43;50,000068;50;10,009187;10;69,988054;34,994027;10,135868
16.8.2026 08:59:44,3s;44;50,000018;50;9,995998;10;69,987777;34,993888;10,122456
16.8.2026 08:59:44,4s;45;49,999556;50;9,995344;10;69,987499;34,993749;10,129125
16.8.2026 08:59:44,5s;46;50,000141;50;10,013148;10;69,987221;34,993610;10,147014
16.8.2026 08:59:44,6s;47;49,999989;50;10,020941;10;69,986942;34,993471;10,141495
16.8.2026 08:59:44,7s;48;49,999823;50;10,010367;10;69,986664;34,993332;10,099311
16.8.2026 08:59:44,8s;49;50,000065;50;10,009362;10;69,986386;34,993193;10,143030
16.8.2026 08:59:44,9s;50;49,999775;50;9,986902;10;69,986109;34,993054;10,110902
16.8.2026 08:59:45,0s;51;50,000054;50;10,032283;10;69,985830;34,992915;10,149760
16.8.2026 08:59:45,1s;52;49,999982;50;10,038729;10;69,985551;34,992776;10,129983
16.8.2026 08:59:45,2s;53;49,999685;50;10,019694;10;69,985273;34,992637;10,155966
16.8.2026 08:59:45,3s;54;49,999906;50;10,008737;10;69,984995;34,992498;10,141491
16.8.2026 08:59:45,4s;55;50,000294;50;10,014262;10;69,984717;34,992358;10,167881
16.8.2026 08:59:45,5s;56;50,000216;50;9,992732;10;69,984439;34,992220;10,083023
16.8.2026 08:59:45,6s;57;49,999756;50;9,965253;10;69,984163;34,992081;10,107088
16.8.2026 08:59:45,7s;58;49,999932;50;9,970368;10;69,983886;34,991943;10,099424
16.8.2026 08:59:45,8s;59;49,999967;50;10,005727;10;69,983608;34,991804;10,093963
16.8.2026 08:59:45,9s;60;50,000185;50;9,990707;10;69,983330;34,991665;10,081460
16.8.2026 08:59:46,0s;61;50,000037;50;10,004889;10;69,983052;34,991526;10,155814
16.8.2026 08:59:46,1s;62;50,000124;50;9,981215;10;69,982775;34,991387;10,126408
16.8.2026 08:59:46,2s;63;49,999736;50;9,987879;10;69,982497;34,991249;10,057517
16.8.2026 08:59:46,3s;64;49,999946;50;9,979749;10;69,982220;34,991110;10,075916
16.8.2026 08:59:46,4s;65;49,999933;50;9,956202;10;69,981944;34,990972;10,002493
16.8.2026 08:59:46,5s;66;50,000199;50;9,995792;10;69,981666;34,990833;10,138690
16.8.2026 08:59:46,6s;67;50,000029;50;10,003620;10;69,981388;34,990694;10,106598
16.8.2026 08:59:46,7s;68;49,999753;50;10,018487;10;69,981110;34,990555;10,151163
16.8.2026 08:59:46,8s;69;50,000117;50;10,000731;10;69,980832;34,990416;10,128845
16.8.2026 08:59:46,9s;70;50,000025;50;9,975774;10;69,980555;34,990277;10,078207
16.8.2026 08:59:47,0s;71;49,999813;50;10,008186;10;69,980277;34,990138;10,142895
16.8.2026 08:59:47,1s;72;50,000163;50;10,044095;10;69,979998;34,989999;10,178609
16.8.2026 08:59:47,2s;73;50,000172;50;10,006941;10;69,979720;34,989860;10,109084
16.8.2026 08:59:47,3s;74;49,999984;50;9,992758;10;69,979442;34,989721;10,108575
16.8.2026 08:59:47,4s;75;49,999774;50;9,980637;10;69,979165;34,989583;10,102579
16.8.2026 08:59:47,5s;76;50,000372;50;9,972296;10;69,978888;34,989444;10,098710
16.8.2026 08:59:47,6s;77;49,999874;50;9,971585;10;69,978611;34,989306;10,085316
16.8.2026 08:59:47,7s;78;49,999733;50;10,035416;10;69,978332;34,989166;10,183051
16.8.2026 08:59:47,8s;79;49,999717;50;9,955562;10;69,978056;34,989028;10,078896
16.8.2026 08:59:47,9s;80;50,000231;50;9,971246;10;69,977779;34,988889;10,122380
16.8.2026 08:59:48,0s;81;50,000365;50;9,982655;10;69,977502;34,988751;10,072507
16.8.2026 08:59:48,1s;82;50,000170;50;9,973650;10;69,977225;34,988612;10,076485
16.8.2026 08:59:48,2s;83;49,999953;50;10,011845;10;69,976946;34,988473;10,083215
16.8.2026 08:59:48,3s;84;50,000058;50;10,020148;10;69,976668;34,988334;10,126417
16.8.2026 08:59:48,4s;85;50,000012;50;9,995357;10;69,976390;34,988195;10,080383
16.8.2026 08:59:48,5s;86;50,000274;50;10,001930;10;69,976113;34,988056;10,124336
16.8.2026 08:59:48,6s;87;50,000320;50;10,035367;10;69,975834;34,987917;10,150371
16.8.2026 08:59:48,7s;88;49,999631;50;9,978766;10;69,975557;34,987778;10,069170
16.8.2026 08:59:48,8s;89;50,000187;50;9,996856;10;69,975279;34,987639;10,127408
16.8.2026 08:59:48,9s;90;50,000283;50;10,022130;10;69,975001;34,987500;10,123328
16.8.2026 08:59:49,0s;91;49,999803;50;10,041840;10;69,974722;34,987361;10,204113
16.8.2026 08:59:49,1s;92;50,000144;50;10,017271;10;69,974443;34,987222;10,134304
16.8.2026 08:59:49,2s;93;50,000096;50;9,998512;10;69,974166;34,987083;10,109246
16.8.2026 08:59:49,3s;94;50,000211;50;10,007396;10;69,973888;34,986944;10,141721
16.8.2026 08:59:49,4s;95;50,000278;50;10,009097;10;69,973610;34,986805;10,138128
16.8.2026 08:59:49,5s;96;50,000428;50;9,993127;10;69,973332;34,986666;10,068264
16.8.2026 08:59:49,6s;97;49,999911;50;9,995771;10;69,973054;34,986527;10,122667
16.8.2026 08:59:49,7s;98;50,000000;50;9,978778;10;69,972777;34,986389;10,102480
16.8.2026 08:59:49,8s;99;49,999767;50;10,009173;10;69,972499;34,986250;10,126959
16.8.2026 08:59:49,9s;100;50,000045;50;9,981421;10;69,972222;34,986111;10,126003
16.8.2026 08:59:50,0s;101;50,000061;50;9,975581;10;69,971945;34,985972;10,076103
16.8.2026 08:59:50,1s;102;50,000114;50;9,975124;10;69,971668;34,985834;10,085540
16.8.2026 08:59:50,2s;103;50,000409;50;9,992244;10;69,971390;34,985695;10,083581
16.8.2026 08:59:50,3s;104;49,999940;50;9,972534;10;69,971113;34,985557;10,094996
16.8.2026 08:59:50,4s;105;49,999649;50;9,969680;10;69,970836;34,985418;10,082343
16.8.2026 08:59:50,5s;106;49,999414;50;10,002341;10;69,970558;34,985279;10,142422
16.8.2026 08:59:50,6s;107;50,000344;50;9,997991;10;69,970281;34,985140;10,119967
16.8.2026 08:59:50,7s;108;49,999706;50;9,982509;10;69,970003;34,985002;10,083020
16.8.2026 08:59:50,8s;109;50,000150;50;10,012643;10;69,969725;34,984863;10,100480
16.8.2026 08:59:50,9s;110;50,000189;50;9,975094;10;69,969448;34,984724;10,099049
16.8.2026 08:59:51,0s;111;49,999755;50;9,985854;10;69,969171;34,984585;10,097498
16.8.2026 08:59:51,1s;112;50,000030;50;9,986681;10;69,968893;34,984447;10,084003
16.8.2026 08:59:51,2s;113;49,999921;50;10,003112;10;69,968615;34,984308;10,129651
16.8.2026 08:59:51,3s;114;49,999654;50;10,010839;10;69,968337;34,984169;10,134132
16.8.2026 08:59:51,4s;115;49,999977;50;9,990970;10;69,968060;34,984030;10,085846
16.8.2026 08:59:51,5s;116;50,000098;50;10,016476;10;69,967782;34,983891;10,128217
16.8.2026 08:59:51,6s;117;49,999884;50;9,947777;10;69,967505;34,983753;10,034857
16.8.2026 08:59:51,7s;118;50,000336;50;10,000651;10;69,967228;34,983614;10,109783
16.8.2026 08:59:51,8s;119;49,999590;50;10,009661;10;69,966949;34,983475;10,104028
16.8.2026 08:59:51,9s;120;50,000242;50;10,041540;10;69,966671;34,983335;10,120642
16.8.2026 08:59:52,0s;121;50,000153;50;9,997857;10;69,966393;34,983196;10,103152
16.8.2026 08:59:52,1s;122;49,999964;50;9,990907;10;69,966115;34,983058;10,107562
16.8.2026 08:59:52,2s;123;49,999699;50;10,059116;10;69,965836;34,982918;10,166462
16.8.2026 08:59:52,3s;124;50,000094;50;9,993646;10;69,965558;34,982779;10,122944
16.8.2026 08:59:52,4s;125;49,999682;50;10,011663;10;69,965280;34,982640;10,111433
16.8.2026 08:59:52,5s;126;50,000295;50;10,019965;10;69,965002;34,982501;10,143523
16.8.2026 08:59:52,6s;127;50,000032;50;9,969252;10;69,964725;34,982362;10,112730
16.8.2026 08:59:52,7s;128;50,000001;50;9,977271;10;69,964448;34,982224;10,077158
16.8.2026 08:59:52,8s;129;50,000264;50;9,958151;10;69,964171;34,982086;10,031530
16.8.2026 08:59:52,9s;130;49,999946;50;10,002250;10;69,963893;34,981947;10,136273
16.8.2026 08:59:53,0s;131;50,000270;50;9,968097;10;69,963616;34,981808;10,077681
16.8.2026 08:59:53,1s;132;49,999805;50;9,945846;10;69,963340;34,981670;10,049189
16.8.2026 08:59:53,2s;133;50,000268;50;10,007780;10;69,963062;34,981531;10,113359
16.8.2026 08:59:53,3s;134;50,000043;50;10,014306;10;69,962784;34,981392;10,131858
16.8.2026 08:59:53,4s;135;49,999700;50;10,004230;10;69,962506;34,981253;10,121637
16.8.2026 08:59:53,5s;136;49,999575;50;10,020105;10;69,962228;34,981114;10,157285
16.8.2026 08:59:53,6s;137;49,999998;50;9,973974;10;69,961951;34,980975;10,122734
16.8.2026 08:59:53,7s;138;50,000079;50;10,048911;10;69,961672;34,980836;10,153063
16.8.2026 08:59:53,8s;139;50,000243;50;10,017868;10;69,961393;34,980697;10,179463
16.8.2026 08:59:53,9s;140;49,999821;50;10,010939;10;69,961115;34,980558;10,103109
16.8.2026 08:59:54,0s;141;49,999885;50;9,986772;10;69,960838;34,980419;10,098333
16.8.2026 08:59:54,1s;142;50,000002;50;10,092444;10;69,960557;34,980279;10,184237
16.8.2026 08:59:54,2s;143;49,999783;50;9,980098;10;69,960280;34,980140;10,119414
16.8.2026 08:59:54,3s;144;50,000305;50;9,981330;10;69,960003;34,980001;10,114327
16.8.2026 08:59:54,4s;145;49,999955;50;9,979685;10;69,959726;34,979863;10,137713
16.8.2026 08:59:54,5s;146;49,999926;50;9,989877;10;69,959448;34,979724;10,094728
16.8.2026 08:59:54,6s;147;49,999641;50;10,008342;10;69,959170;34,979585;10,116797
16.8.2026 08:59:54,7s;148;50,000308;50;10,032329;10;69,958892;34,979446;10,145078
16.8.2026 08:59:54,8s;149;49,999782;50;9,968537;10;69,958615;34,979307;10,106217
16.8.2026 08:59:54,9s;150;50,000498;50;9,984837;10;69,958337;34,979169;10,075248
16.8.2026 08:59:55,0s;151;50,000229;50;10,013140;10;69,958059;34,979030;10,112728
16.8.2026 08:59:55,1s;152;49,999889;50;10,022713;10;69,957781;34,978890;10,114494
16.8.2026 08:59:55,2s;153;49,999533;50;9,980459;10;69,957504;34,978752;10,045991
16.8.2026 08:59:55,3s;154;49,999850;50;9,959249;10;69,957227;34,978613;10,077510
16.8.2026 08:59:55,4s;155;50,000002;50;9,982455;10;69,956950;34,978475;10,140511
16.8.2026 08:59:55,5s;156;50,000008;50;9,979309;10;69,956672;34,978336;10,070699
16.8.2026 08:59:55,6s;157;50,000111;50;10,015346;10;69,956394;34,978197;10,118075
16.8.2026 08:59:55,7s;158;50,000026;50;9,982478;10;69,956117;34,978058;10,132327
16.8.2026 08:59:55,8s;159;49,999992;50;9,990802;10;69,955839;34,977920;10,125194
16.8.2026 08:59:55,9s;160;49,999977;50;10,006509;10;69,955561;34,977781;10,132868
16.8.2026 08:59:56,0s;161;49,999969;50;9,986479;10;69,955284;34,977642;10,104987
16.8.2026 08:59:56,1s;162;50,000014;50;9,965894;10;69,955007;34,977504;10,096610
16.8.2026 08:59:56,2s;163;50,000010;50;10,013184;10;69,954729;34,977365;10,153057
16.8.2026 08:59:56,3s;164;50,000211;50;10,001950;10;69,954451;34,977226;10,123381
16.8.2026 08:59:56,4s;165;50,000320;50;10,010301;10;69,954173;34,977087;10,109242
16.8.2026 08:59:56,5s;166;50,000104;50;10,009582;10;69,953895;34,976948;10,117969
16.8.2026 08:59:56,6s;167;49,999928;50;9,989620;10;69,953618;34,976809;10,105930
16.8.2026 08:59:56,7s;168;49,999973;50;9,981784;10;69,953340;34,976670;10,128424
16.8.2026 08:59:56,8s;169;50,000026;50;10,026465;10;69,953062;34,976531;10,152500
16.8.2026 08:59:56,9s;170;50,000157;50;10,031277;10;69,952783;34,976392;10,160491
16.8.2026 08:59:57,0s;171;49,999759;50;9,992919;10;69,952506;34,976253;10,123361
16.8.2026 08:59:57,1s;172;50,000072;50;10,038514;10;69,952227;34,976113;10,140652
16.8.2026 08:59:57,2s;173;49,999972;50;9,958641;10;69,951950;34,975975;10,122736
16.8.2026 08:59:57,3s;174;49,999903;50;9,959738;10;69,951673;34,975837;10,070692
16.8.2026 08:59:57,4s;175;50,000099;50;9,999666;10;69,951396;34,975698;10,130999
16.8.2026 08:59:57,5s;176;50,000420;50;10,010103;10;69,951118;34,975559;10,145211
16.8.2026 08:59:57,6s;177;49,999948;50;10,032155;10;69,950839;34,975419;10,165247
16.8.2026 08:59:57,7s;178;50,000010;50;10,004518;10;69,950561;34,975281;10,123178
16.8.2026 08:59:57,8s;179;49,999923;50;10,010910;10;69,950283;34,975141;10,124341
16.8.2026 08:59:57,9s;180;49,999517;50;10,017120;10;69,950005;34,975002;10,140185
16.8.2026 08:59:58,0s;181;49,999871;50;10,001109;10;69,949727;34,974863;10,141341
16.8.2026 08:59:58,1s;182;50,000262;50;9,983376;10;69,949450;34,974725;10,122171
16.8.2026 08:59:58,2s;183;49,999984;50;9,947902;10;69,949173;34,974587;10,079763
16.8.2026 08:59:58,3s;184;49,999878;50;9,977471;10;69,948896;34,974448;10,090482
16.8.2026 08:59:58,4s;185;49,999926;50;10,010555;10;69,948618;34,974309;10,132073
16.8.2026 08:59:58,5s;186;49,999905;50;9,991799;10;69,948340;34,974170;10,106032
16.8.2026 08:59:58,6s;187;50,000134;50;9,980633;10;69,948063;34,974032;10,135563
16.8.2026 08:59:58,7s;188;50,000125;50;10,026825;10;69,947785;34,973892;10,137287
16.8.2026 08:59:58,8s;189;50,000155;50;10,010910;10;69,947507;34,973753;10,164358
16.8.2026 08:59:58,9s;190;49,999793;50;9,996794;10;69,947229;34,973614;10,082607
16.8.2026 08:59:59,0s;191;50,000139;50;9,981360;10;69,946952;34,973476;10,092213
16.8.2026 08:59:59,1s;192;49,999729;50;10,046546;10;69,946673;34,973336;10,157060
16.8.2026 08:59:59,2s;193;49,999738;50;10,046493;10;69,946394;34,973197;10,144366
16.8.2026 08:59:59,3s;194;49,999739;50;10,012337;10;69,946115;34,973058;10,108772
16.8.2026 08:59:59,4s;195;50,000094;50;10,055599;10;69,945836;34,972918;10,189520
16.8.2026 08:59:59,5s;196;50,000249;50;10,028223;10;69,945558;34,972779;10,123981
16.8.2026 08:59:59,6s;197;49,999907;50;9,964419;10;69,945281;34,972640;10,080332
16.8.2026 08:59:59,7s;198;49,999883;50;10,017458;10;69,945003;34,972501;10,126724
16.8.2026 08:59:59,8s;199;50,000050;50;10,004219;10;69,944725;34,972362;10,112372
16.8.2026 08:59:59,9s;200;50,000045;50;9,959399;10;69,944448;34,972224;10,088916
16.8.2026 09:00:00,0s;201;49,999957;50,200000;9,977853;10;69,944171;34,972085;10,116188
16.8.2026 09:00:00,1s;202;49,999909;50,200000;9,962069;10;69,943894;34,971947;10,046244
16.8.2026 09:00:00,2s;203;50,000069;50,200000;9,964254;10;69,943617;34,971809;10,056433
16.8.2026 09:00:00,3s;204;49,999636;50,200000;10,009141;10;69,943339;34,971670;10,146909
16.8.2026 09:00:00,4s;205;49,999974;50,200000;9,979349;10;69,943062;34,971531;10,086561
16.8.2026 09:00:00,5s;206;50,000138;50,200000;10,009823;10;69,942784;34,971392;10,175288
16.8.2026 09:00:00,6s;207;49,999730;50,200000;10,063645;10;69,942504;34,971252;10,188641
16.8.2026 09:00:00,7s;208;49,999890;50,200000;9,951157;10;69,942228;34,971114;10,073301
16.8.2026 09:00:00,8s;209;49,999981;50,200000;10,007036;10;69,941950;34,970975;10,132297
16.8.2026 09:00:00,9s;210;49,999645;50,200000;9,948180;10;69,941674;34,970837;10,078974
16.8.2026 09:00:01,0s;211;49,999911;50,200000;9,906731;10;69,941399;34,970699;10,058860
16.8.2026 09:00:01,1s;212;49,999974;50,200000;9,877726;10;69,941124;34,970562;10,045009
16.8.2026 09:00:01,2s;213;50,000205;50,200000;9,836530;10;69,940851;34,970425;9,941976
16.8.2026 09:00:01,3s;214;49,999557;50,200000;9,840537;10;69,940578;34,970289;9,945890
16.8.2026 09:00:01,4s;215;49,999798;50,200000;9,813470;10;69,940305;34,970152;9,914741
16.8.2026 09:00:01,5s;216;49,999978;50,200000;9,745159;10;69,940034;34,970017;9,855116
16.8.2026 09:00:01,6s;217;50,000289;50,200000;9,741083;10;69,939764;34,969882;9,834848
16.8.2026 09:00:01,7s;218;49,999991;50,200000;9,686072;10;69,939495;34,969747;9,810711
16.8.2026 09:00:01,8s;219;50,000034;50,200000;9,636107;10;69,939227;34,969613;9,745667
16.8.2026 09:00:01,9s;220;49,999713;50,200000;9,610976;10;69,938960;34,969480;9,713511
16.8.2026 09:00:02,0s;221;50,000083;50,200000;9,572031;10;69,938694;34,969347;9,689833
16.8.2026 09:00:02,1s;222;49,999823;50,200000;9,510246;10;69,938430;34,969215;9,587431
16.8.2026 09:00:02,2s;223;50,000034;50,200000;9,442888;10;69,938168;34,969084;9,562027
16.8.2026 09:00:02,3s;224;49,999889;50,200000;9,448632;10;69,937905;34,968953;9,571449
16.8.2026 09:00:02,4s;225;49,999791;50,200000;9,377838;10;69,937645;34,968822;9,456308
16.8.2026 09:00:02,5s;226;49,999755;50,200000;9,305455;10;69,937386;34,968693;9,441874
16.8.2026 09:00:02,6s;227;50,000222;50,200000;9,213977;10;69,937130;34,968565;9,317076
16.8.2026 09:00:02,7s;228;49,999955;50,200000;9,183065;10;69,936875;34,968438;9,309759
16.8.2026 09:00:02,8s;229;49,999815;50,200000;9,129106;10;69,936622;34,968311;9,250671
16.8.2026 09:00:02,9s;230;49,999933;50,200000;9,070066;10;69,936370;34,968185;9,157741
16.8.2026 09:00:03,0s;231;49,999957;50,200000;8,970437;10;69,936120;34,968060;9,072836
16.8.2026 09:00:03,1s;232;49,999849;50,200000;8,963250;10;69,935871;34,967936;9,076119
16.8.2026 09:00:03,2s;233;49,999959;50,200000;8,885344;10;69,935625;34,967812;8,993952
16.8.2026 09:00:03,3s;234;50,000288;50,200000;8,763504;10;69,935381;34,967691;8,882021
16.8.2026 09:00:03,4s;235;49,999927;50,200000;8,757133;10;69,935138;34,967569;8,856848
16.8.2026 09:00:03,5s;236;50,000243;50,200000;8,628892;10;69,934898;34,967449;8,726455
16.8.2026 09:00:03,6s;237;49,999998;50,200000;8,533066;10;69,934661;34,967331;8,682935
16.8.2026 09:00:03,7s;238;49,999719;50,200000;8,495863;10;69,934425;34,967213;8,627022
16.8.2026 09:00:03,8s;239;50,000331;50,200000;8,408435;10;69,934192;34,967096;8,546477
16.8.2026 09:00:03,9s;240;50,000132;50,200000;8,300129;10;69,933961;34,966981;8,418550
16.8.2026 09:00:04,0s;241;49,999656;50,200000;8,252220;10;69,933732;34,966866;8,344814
16.8.2026 09:00:04,1s;242;49,999927;50,200000;8,187297;10;69,933504;34,966752;8,264279
16.8.2026 09:00:04,2s;243;50,000217;50,200000;8,065801;10;69,933280;34,966640;8,168085
16.8.2026 09:00:04,3s;244;49,999884;50,200000;7,963255;10;69,933059;34,966530;8,054528
16.8.2026 09:00:04,4s;245;50,000176;50,200000;7,890049;10;69,932840;34,966420;7,993411
16.8.2026 09:00:04,5s;246;49,999932;50,200000;7,762222;10;69,932624;34,966312;7,837222
16.8.2026 09:00:04,6s;247;49,999776;50,200000;7,692266;10;69,932411;34,966205;7,778845
16.8.2026 09:00:04,7s;248;49,999960;50,200000;7,599303;10;69,932200;34,966100;7,686294
16.8.2026 09:00:04,8s;249;50,000408;50,200000;7,475760;10;69,931992;34,965996;7,571198
16.8.2026 09:00:04,9s;250;49,999708;50,200000;7,419507;10;69,931786;34,965893;7,466639
16.8.2026 09:00:05,0s;251;50,000039;50,200000;7,323784;10;69,931582;34,965791;7,433868
16.8.2026 09:00:05,1s;252;50,000328;50,200000;7,167562;10;69,931383;34,965692;7,235303
16.8.2026 09:00:05,2s;253;49,999614;50,200000;7,119069;10;69,931186;34,965593;7,192479
16.8.2026 09:00:05,3s;254;50,000059;50,200000;7,009805;10;69,930991;34,965495;7,086225
16.8.2026 09:00:05,4s;255;50,000176;50,200000;6,876753;10;69,930800;34,965400;6,984391
16.8.2026 09:00:05,5s;256;50,000039;50,200000;6,855000;10;69,930609;34,965305;6,928584
16.8.2026 09:00:05,6s;257;50,000080;50,200000;6,717426;10;69,930423;34,965211;6,789278
16.8.2026 09:00:05,7s;258;50,000127;50,200000;6,618730;10;69,930239;34,965120;6,684910
16.8.2026 09:00:05,8s;259;49,999856;50,200000;6,530902;10;69,930058;34,965029;6,634910
16.8.2026 09:00:05,9s;260;49,999997;50,200000;6,400897;10;69,929880;34,964940;6,484755
