# YHDA_VERSION=0.7.1
# TEST_SERVICE=RGDH
# PLANT_TYPE=EDUEDT
# STEP_ID=CHARGE_UE_MAX
# STEP_NAME=Sistemden enerji çekerken — düşük ikaz maksimum
# TESIS_ADI=YHDA Örnek Depolamalı GES
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=100.0
# NOMINAL_VOLTAGE_KV=154.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YDA v0.7.1
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=1000
# VOLTAGE_DROOP_PERCENT=4
# Q_TEST_DURATION_MIN=10
# MAIN_SOURCE_PNOM_MW=60
# AUX_SOURCE_PNOM_MW=100
# ONLINE_TOTAL_MW=160
# MAX_ACCESSIBLE_POWER_MW=90
# Q_REQUIRED_OE_MVAR=40
# Q_REQUIRED_UE_MVAR=-40
# ENERGY_CAPACITY_MWH=200
# SOC_INITIAL_PERCENT=65
# TOTAL_UNIT_COUNT=2
# ONLINE_UNIT_COUNT=2
# STEP_Q_TARGET_MVAR=-40
# STEP_PSET_MW=-90
# YDA_VERSION=0.7.1
ZAMAN;SIRA_NO;system_voltage_kv;voltage_reference_kv;total_active_power_mw;total_reactive_power_mvar;main_source_active_power_mw;main_source_reactive_power_mvar;aux_source_active_power_mw;aux_source_reactive_power_mvar;soc_pct;stored_energy_mwh
16.8.2026 09:01:32,0s;93;154,073098;154,000000;-90,009766;-36,808251;0;-9,202063;-90,009766;-27,606188;66,150125;132,300250
16.8.2026 09:01:33,0s;94;154,090397;154,000000;-90,055761;-37,243227;0;-9,310807;-90,055761;-27,932420;66,163220;132,326440
16.8.2026 09:01:34,0s;95;154,068963;154,000000;-89,969973;-37,745757;0;-9,436439;-89,969973;-28,309318;66,174608;132,349216
16.8.2026 09:01:35,0s;96;154,085014;154,000000;-90,017188;-38,089048;0;-9,522262;-90,017188;-28,566786;66,187727;132,375454
16.8.2026 09:01:36,0s;97;154,063423;154,000000;-90,043886;-38,374104;0;-9,593526;-90,043886;-28,780578;66,200585;132,401170
16.8.2026 09:01:37,0s;98;154,103263;154,000000;-90,019074;-38,950007;0;-9,737502;-90,019074;-29,212506;66,212757;132,425514
16.8.2026 09:01:38,0s;99;154,029720;154,000000;-89,942234;-39,010942;0;-9,752735;-89,942234;-29,258206;66,224214;132,448427
16.8.2026 09:01:39,0s;100;154,082577;154,000000;-89,963316;-39,298472;0;-9,824618;-89,963316;-29,473854;66,236996;132,473991
16.8.2026 09:01:40,0s;101;154,103610;154,000000;-89,963582;-39,558316;0;-9,889579;-89,963582;-29,668737;66,249494;132,498988
16.8.2026 09:01:41,0s;102;154,049760;154,000000;-89,990096;-39,707976;0;-9,926994;-89,990096;-29,780982;66,262361;132,524722
16.8.2026 09:01:42,0s;103;154,080909;154,000000;-89,946156;-39,617794;0;-9,904449;-89,946156;-29,713346;66,274237;132,548474
16.8.2026 09:01:43,0s;104;154,071583;154,000000;-89,951971;-39,878846;0;-9,969712;-89,951971;-29,909135;66,286813;132,573626
16.8.2026 09:01:44,0s;105;154,067746;154,000000;-90,021723;-39,964617;0;-9,991154;-90,021723;-29,973463;66,300314;132,600628
16.8.2026 09:01:45,0s;106;154,055169;154,000000;-90,063505;-40,080039;0;-10,020010;-90,063505;-30,060030;66,313426;132,626852
16.8.2026 09:01:46,0s;107;154,079938;154,000000;-90,121330;-40,128672;0;-10,032168;-90,121330;-30,096504;66,326786;132,653572
16.8.2026 09:01:47,0s;108;154,077761;154,000000;-89,982462;-39,945086;0;-9,986271;-89,982462;-29,958814;66,337239;132,674479
16.8.2026 09:01:48,0s;109;154,135857;154,000000;-90,076513;-39,918419;0;-9,979605;-90,076513;-29,938815;66,351148;132,702295
16.8.2026 09:01:49,0s;110;154,110329;154,000000;-89,894103;-39,961605;0;-9,990401;-89,894103;-29,971204;66,360897;132,721794
16.8.2026 09:01:50,0s;111;154,084762;154,000000;-89,938627;-40,004527;0;-10,001132;-89,938627;-30,003395;66,374062;132,748125
16.8.2026 09:01:51,0s;112;154,058462;154,000000;-90,029657;-40,230948;0;-10,057737;-90,029657;-30,173211;66,387957;132,775914
16.8.2026 09:01:52,0s;113;154,096865;154,000000;-90,033762;-40,030027;0;-10,007507;-90,033762;-30,022520;66,400525;132,801050
16.8.2026 09:01:53,0s;114;154,082651;154,000000;-90,023497;-39,889876;0;-9,972469;-90,023497;-29,917407;66,412869;132,825738
16.8.2026 09:01:54,0s;115;154,082912;154,000000;-90,066811;-40,075837;0;-10,018959;-90,066811;-30,056878;66,426058;132,852116
16.8.2026 09:01:55,0s;116;154,094987;154,000000;-89,996805;-39,988882;0;-9,997220;-89,996805;-29,991661;66,437449;132,874898
16.8.2026 09:01:56,0s;117;154,107366;154,000000;-90,015934;-39,874534;0;-9,968633;-90,015934;-29,905900;66,450257;132,900513
16.8.2026 09:01:57,0s;118;154,099829;154,000000;-89,919758;-40,000212;0;-10,000053;-89,919758;-30,000159;66,461196;132,922392
16.8.2026 09:01:58,0s;119;154,088758;154,000000;-90,014651;-39,902139;0;-9,975535;-90,014651;-29,926604;66,475240;132,950480
16.8.2026 09:01:59,0s;120;154,086997;154,000000;-90,059746;-40,077377;0;-10,019344;-90,059746;-30,058033;66,488487;132,976975
16.8.2026 09:02:00,0s;121;154,103491;154,000000;-90,053323;-40,003484;0;-10,000871;-90,053323;-30,002613;66,500889;133,001777
16.8.2026 09:02:01,0s;122;154,091121;154,000000;-90,043163;-40,140244;0;-10,035061;-90,043163;-30,105183;66,513225;133,026451
16.8.2026 09:02:02,0s;123;154,116338;154,000000;-90,008979;-39,985810;0;-9,996452;-90,008979;-29,989357;66,525152;133,050304
16.8.2026 09:02:03,0s;124;154,084860;154,000000;-89,967317;-40,025556;0;-10,006389;-89,967317;-30,019167;66,536942;133,073883
16.8.2026 09:02:04,0s;125;154,091422;154,000000;-90,077421;-40,244710;0;-10,061177;-90,077421;-30,183532;66,551333;133,102667
16.8.2026 09:02:05,0s;126;154,047809;154,000000;-90,012817;-40,065872;0;-10,016468;-90,012817;-30,049404;66,562723;133,125445
16.8.2026 09:02:06,0s;127;154,067381;154,000000;-90,070406;-39,887486;0;-9,971871;-90,070406;-29,915614;66,576232;133,152464
16.8.2026 09:02:07,0s;128;154,091393;154,000000;-89,950385;-39,975196;0;-9,993799;-89,950385;-29,981397;66,586625;133,173250
16.8.2026 09:02:08,0s;129;154,100745;154,000000;-90,054421;-40,020311;0;-10,005078;-90,054421;-30,015233;66,600967;133,201935
16.8.2026 09:02:09,0s;130;154,098872;154,000000;-90,042203;-40,244061;0;-10,061015;-90,042203;-30,183046;66,613256;133,226512
16.8.2026 09:02:10,0s;131;154,091344;154,000000;-90,007393;-40,172991;0;-10,043248;-90,007393;-30,129743;66,625133;133,250267
16.8.2026 09:02:11,0s;132;154,096787;154,000000;-89,926471;-39,966346;0;-9,991586;-89,926471;-29,974759;66,636162;133,272324
16.8.2026 09:02:12,0s;133;154,086608;154,000000;-90,077932;-40,117561;0;-10,029390;-90,077932;-30,088171;66,651429;133,302858
16.8.2026 09:02:13,0s;134;154,111996;154,000000;-89,998782;-39,966859;0;-9,991715;-89,998782;-29,975145;66,662478;133,324955
16.8.2026 09:02:14,0s;135;154,084100;154,000000;-90,062054;-39,922898;0;-9,980725;-90,062054;-29,942174;66,676155;133,352310
16.8.2026 09:02:15,0s;136;154,054855;154,000000;-89,999952;-39,918339;0;-9,979585;-89,999952;-29,938754;66,687499;133,374998
16.8.2026 09:02:16,0s;137;154,088922;154,000000;-90,014631;-39,979397;0;-9,994849;-90,014631;-29,984548;66,700276;133,400553
16.8.2026 09:02:17,0s;138;154,100494;154,000000;-89,897985;-40,024902;0;-10,006225;-89,897985;-30,018676;66,710559;133,421118
16.8.2026 09:02:18,0s;139;154,092318;154,000000;-90,008077;-40,066833;0;-10,016708;-90,008077;-30,050125;66,725155;133,450310
16.8.2026 09:02:19,0s;140;154,075444;154,000000;-90,046136;-40,099226;0;-10,024806;-90,046136;-30,074419;66,738391;133,476781
16.8.2026 09:02:20,0s;141;154,136780;154,000000;-90,049603;-39,834740;0;-9,958685;-90,049603;-29,876055;66,750965;133,501929
16.8.2026 09:02:21,0s;142;154,070508;154,000000;-89,987105;-39,950060;0;-9,987515;-89,987105;-29,962545;66,762247;133,524495
16.8.2026 09:02:22,0s;143;154,062857;154,000000;-90,066595;-39,900620;0;-9,975155;-90,066595;-29,925465;66,776313;133,552627
16.8.2026 09:02:23,0s;144;154,074773;154,000000;-89,974321;-40,074681;0;-10,018670;-89,974321;-30,056011;66,786990;133,573980
16.8.2026 09:02:24,0s;145;154,063831;154,000000;-90,034733;-39,878053;0;-9,969513;-90,034733;-29,908540;66,800695;133,601389
16.8.2026 09:02:25,0s;146;154,056881;154,000000;-90,047719;-39,844999;0;-9,961250;-90,047719;-29,883749;66,813461;133,626922
16.8.2026 09:02:26,0s;147;154,077340;154,000000;-89,984648;-39,851963;0;-9,962991;-89,984648;-29,888972;66,824689;133,649377
16.8.2026 09:02:27,0s;148;154,083361;154,000000;-89,905364;-39,928513;0;-9,982128;-89,905364;-29,946385;66,835568;133,671136
16.8.2026 09:02:28,0s;149;154,071988;154,000000;-90,027665;-40,051601;0;-10,012900;-90,027665;-30,038701;66,850569;133,701137
16.8.2026 09:02:29,0s;150;154,091986;154,000000;-89,980863;-39,977196;0;-9,994299;-89,980863;-29,982897;66,862104;133,724208
16.8.2026 09:02:30,0s;151;154,093931;154,000000;-90,059151;-39,961962;0;-9,990491;-90,059151;-29,971472;66,876232;133,752465
16.8.2026 09:02:31,0s;152;154,085505;154,000000;-90,046734;-40,180255;0;-10,045064;-90,046734;-30,135192;66,888480;133,776960
16.8.2026 09:02:32,0s;153;154,085510;154,000000;-90,065583;-40,108803;0;-10,027201;-90,065583;-30,081602;66,901385;133,802769
16.8.2026 09:02:33,0s;154;154,079134;154,000000;-90,080828;-39,911985;0;-9,977996;-90,080828;-29,933989;66,914218;133,828435
16.8.2026 09:02:34,0s;155;154,070988;154,000000;-89,911512;-40,196925;0;-10,049231;-89,911512;-30,147694;66,923107;133,846215
16.8.2026 09:02:35,0s;156;154,066806;154,000000;-90,057382;-39,875559;0;-9,968890;-90,057382;-29,906669;66,938735;133,877471
16.8.2026 09:02:36,0s;157;154,079930;154,000000;-90,007383;-39,910365;0;-9,977591;-90,007383;-29,932774;66,950160;133,900320
16.8.2026 09:02:37,0s;158;154,066241;154,000000;-90,047100;-40,039004;0;-10,009751;-90,047100;-30,029253;66,963527;133,927054
16.8.2026 09:02:38,0s;159;154,059906;154,000000;-89,861352;-39,926836;0;-9,981709;-89,861352;-29,945127;66,971957;133,943915
16.8.2026 09:02:39,0s;160;154,079837;154,000000;-90,043123;-40,156693;0;-10,039173;-90,043123;-30,117520;66,988452;133,976905
16.8.2026 09:02:40,0s;161;154,019942;154,000000;-90,071913;-39,974645;0;-9,993661;-90,071913;-29,980984;67,001598;134,003196
16.8.2026 09:02:41,0s;162;154,043316;154,000000;-90,078653;-39,889665;0;-9,972416;-90,078653;-29,917249;67,014259;134,028518
16.8.2026 09:02:42,0s;163;154,057844;154,000000;-89,975845;-40,148509;0;-10,037127;-89,975845;-30,111382;67,024457;134,048913
16.8.2026 09:02:43,0s;164;154,054100;154,000000;-90,004036;-39,942134;0;-9,985534;-90,004036;-29,956601;67,037591;134,075183
16.8.2026 09:02:44,0s;165;154,063400;154,000000;-90,002335;-39,836198;0;-9,959050;-90,002335;-29,877149;67,050053;134,100106
16.8.2026 09:02:45,0s;166;154,072350;154,000000;-90,107748;-39,873270;0;-9,968318;-90,107748;-29,904953;67,064969;134,129938
16.8.2026 09:02:46,0s;167;154,062994;154,000000;-89,996967;-40,108657;0;-10,027164;-89,996967;-30,081493;67,074930;134,149860
16.8.2026 09:02:47,0s;168;154,071089;154,000000;-89,979421;-39,883514;0;-9,970878;-89,979421;-29,912635;67,087023;134,174045
16.8.2026 09:02:48,0s;169;154,042050;154,000000;-90,009286;-40,054663;0;-10,013666;-90,009286;-30,040997;67,100217;134,200433
16.8.2026 09:02:49,0s;170;154,076213;154,000000;-89,996254;-40,011646;0;-10,002911;-89,996254;-30,008734;67,112412;134,224824
16.8.2026 09:02:50,0s;171;154,022149;154,000000;-89,923921;-39,973869;0;-9,993467;-89,923921;-29,980402;67,123204;134,246407
16.8.2026 09:02:51,0s;172;154,079617;154,000000;-89,968591;-40,025330;0;-10,006332;-89,968591;-30,018997;67,136754;134,273508
16.8.2026 09:02:52,0s;173;154,127095;154,000000;-89,987849;-40,062268;0;-10,015567;-89,987849;-30,046701;67,149710;134,299419
16.8.2026 09:02:53,0s;174;154,054516;154,000000;-90,004972;-39,971622;0;-9,992905;-90,004972;-29,978716;67,162619;134,325239
16.8.2026 09:02:54,0s;175;154,055775;154,000000;-90,026798;-40,072549;0;-10,018137;-90,026798;-30,054411;67,175648;134,351295
