# YHDA_VERSION=0.7.1
# TEST_SERVICE=RGDH
# PLANT_TYPE=KONV
# STEP_ID=UE_MAX
# STEP_NAME=Düşük ikaz — maksimum çıkış gücü
# TESIS_ADI=YHDA Örnek Konvansiyonel Santral
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=300.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YDA v0.7.1
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=1000
# VOLTAGE_DROOP_PERCENT=4
# Q_TEST_DURATION_MIN=10
# PMKUD_MW=120
# SGEN_MVA=350
# COSPHI_NOM=0.85
# VNOM_GEN_KV=15.75
# Q_REQUIRED_OE_MVAR=155
# Q_REQUIRED_UE_MVAR=-98
# STEP_Q_TARGET_MVAR=-98
# STEP_PSET_MW=285
# YDA_VERSION=0.7.1
ZAMAN;SIRA_NO;bus_voltage_kv;internal_aux_voltage_v;active_power_mw;reactive_power_mvar;terminal_voltage_kv;excitation_current_a;stator_current_a;power_factor
16.8.2026 09:00:12,0s;13;380,032467;399,991174;284,882972;0,040803;15,747778;1179,070509;10503,691007;1,000000
16.8.2026 09:00:13,0s;14;380,014213;400,065742;285,183316;-0,247911;15,742659;1175,670843;10503,884759;1,000000
16.8.2026 09:00:14,0s;15;379,974902;399,888360;284,916396;-0,117220;15,751747;1181,668504;10502,811070;1,000000
16.8.2026 09:00:15,0s;16;380,015521;400,013826;284,988291;-0,037243;15,747209;1178,860799;10498,989351;1,000000
16.8.2026 09:00:16,0s;17;380,048765;399,606127;285,033747;0,106980;15,753097;1177,054864;10501,931570;1,000000
16.8.2026 09:00:17,0s;18;380,002911;399,990571;284,948492;0,000995;15,751445;1178,412353;10499,017583;1,000000
16.8.2026 09:00:18,0s;19;380,044095;400,155988;284,967426;0,117264;15,747916;1178,413227;10499,818346;1,000000
16.8.2026 09:00:19,0s;20;379,999772;400,155622;284,814174;0,095294;15,748812;1178,782181;10503,382713;1,000000
16.8.2026 09:00:20,0s;21;380,026074;400,228808;285,243570;0,046232;15,755723;1182,584465;10506,594834;1,000000
16.8.2026 09:00:21,0s;22;379,997021;400,069527;285,055633;-0,298442;15,744694;1178,061913;10498,106038;0,999999
16.8.2026 09:00:22,0s;23;380,030894;399,890739;284,737335;0,027483;15,748418;1182,145754;10499,104053;1,000000
16.8.2026 09:00:23,0s;24;380,059818;400,049870;285,089220;0,505217;15,749926;1182,978171;10505,253045;0,999998
16.8.2026 09:00:24,0s;25;380,027928;400,151109;284,979882;0,446869;15,747660;1178,259531;10502,135994;0,999999
16.8.2026 09:00:25,0s;26;380,029388;399,868759;284,752911;0,045578;15,750642;1181,110589;10502,159645;1,000000
16.8.2026 09:00:26,0s;27;380,028109;399,884277;285,119930;-0,065806;15,750185;1179,481386;10503,524125;1,000000
16.8.2026 09:00:27,0s;28;380,035427;400,389259;285,066190;0,398336;15,751408;1179,205981;10502,242998;0,999999
16.8.2026 09:00:28,0s;29;380,027839;400,006545;284,953516;-0,428838;15,755422;1181,155125;10505,637148;0,999999
16.8.2026 09:00:29,0s;30;380,064748;400,305396;284,800268;0,014612;15,746563;1177,797211;10502,396486;1,000000
16.8.2026 09:00:30,0s;31;380,044808;400,155223;285,123398;-0,171907;15,745908;1183,250126;10500,940868;1,000000
16.8.2026 09:00:31,0s;32;380,054429;399,606647;285,046120;-0,148306;15,748425;1182,669401;10503,833633;1,000000
16.8.2026 09:00:32,0s;33;380,071848;400,026226;285,262676;-0,223275;15,750048;1182,007309;10505,927333;1,000000
16.8.2026 09:00:33,0s;34;380,063257;399,888166;284,964239;-0,972696;15,746029;1176,802837;10510,521195;0,999994
16.8.2026 09:00:34,0s;35;380,024727;399,882530;284,945861;-0,642387;15,749534;1180,589886;10509,095904;0,999997
16.8.2026 09:00:35,0s;36;380,031296;399,783535;285,145721;-1,128834;15,742981;1180,307569;10516,737814;0,999992
16.8.2026 09:00:36,0s;37;380,070176;399,877356;284,905331;-1,781501;15,746050;1178,243624;10519,320392;0,999980
16.8.2026 09:00:37,0s;38;380,021068;400,115540;285,205223;-2,207329;15,741559;1168,693815;10521,522756;0,999970
16.8.2026 09:00:38,0s;39;380,023336;400,173174;284,995248;-2,899439;15,741691;1171,038824;10528,046111;0,999948
16.8.2026 09:00:39,0s;40;380,039353;399,986240;285,126315;-3,745164;15,750059;1169,673634;10543,132216;0,999914
16.8.2026 09:00:40,0s;41;380,059190;399,928057;285,168611;-4,721745;15,748029;1164,573466;10548,960884;0,999863
16.8.2026 09:00:41,0s;42;380,064829;399,826402;284,979884;-5,759228;15,738432;1166,061339;10562,020711;0,999796
16.8.2026 09:00:42,0s;43;380,002601;399,695706;284,675765;-6,339567;15,729140;1166,445492;10577,846263;0,999752
16.8.2026 09:00:43,0s;44;380,076949;400,094691;285,164908;-7,628837;15,729588;1162,937192;10585,546779;0,999642
16.8.2026 09:00:44,0s;45;380,009851;400,028851;285,019649;-8,809462;15,735936;1157,209614;10602,868334;0,999523
16.8.2026 09:00:45,0s;46;380,009890;399,820470;284,957966;-10,559395;15,739623;1160,844023;10613,369315;0,999314
16.8.2026 09:00:46,0s;47;380,067513;399,973583;284,903570;-11,706534;15,733126;1151,686768;10632,604556;0,999157
16.8.2026 09:00:47,0s;48;380,012802;400,283921;285,187482;-12,861023;15,727426;1145,777952;10643,419618;0,998985
16.8.2026 09:00:48,0s;49;380,074579;399,961415;285,159334;-14,343164;15,729665;1148,402787;10650,705212;0,998737
16.8.2026 09:00:49,0s;50;380,026733;399,985844;285,154093;-15,687709;15,720969;1139,169732;10673,532946;0,998490
16.8.2026 09:00:50,0s;51;380,033064;399,971949;285,315461;-17,105463;15,722325;1134,136428;10685,627461;0,998208
16.8.2026 09:00:51,0s;52;380,047503;400,324193;284,695294;-19,032920;15,719968;1131,072981;10710,031670;0,997773
16.8.2026 09:00:52,0s;53;380,058769;400,097330;284,762290;-20,595886;15,716529;1131,450877;10724,980492;0,997395
16.8.2026 09:00:53,0s;54;380,100171;399,733983;285,015877;-22,141211;15,713713;1124,518434;10740,913243;0,996996
16.8.2026 09:00:54,0s;55;380,038688;400,063893;284,674962;-23,939430;15,716814;1118,918787;10761,501655;0,996483
16.8.2026 09:00:55,0s;56;380,046095;400,098971;285,045064;-25,201205;15,709139;1117,034917;10781,378951;0,996114
16.8.2026 09:00:56,0s;57;380,026373;400,322304;285,017852;-26,498837;15,709798;1111,026692;10787,407351;0,995706
16.8.2026 09:00:57,0s;58;380,051486;400,071542;285,136054;-29,431636;15,696168;1109,296603;10822,542809;0,994715
16.8.2026 09:00:58,0s;59;380,046732;399,980006;284,896269;-30,449269;15,690648;1097,560852;10836,524099;0,994337
16.8.2026 09:00:59,0s;60;380,072773;400,019671;285,035271;-32,177463;15,698392;1092,397462;10857,226138;0,993688
16.8.2026 09:01:00,0s;61;380,076505;399,790357;285,249002;-34,344738;15,692939;1091,481126;10878,960375;0,992829
16.8.2026 09:01:01,0s;62;380,073957;400,028233;285,135831;-36,414683;15,689432;1086,369887;10901,311473;0,991944
16.8.2026 09:01:02,0s;63;380,072590;399,938222;284,627170;-38,297190;15,688723;1084,619811;10921,667672;0,991069
16.8.2026 09:01:03,0s;64;380,059187;399,755931;284,892316;-39,848839;15,684216;1078,055264;10941,306950;0,990359
16.8.2026 09:01:04,0s;65;380,076975;400,062666;284,704611;-42,038836;15,674844;1074,993664;10958,303621;0,989274
16.8.2026 09:01:05,0s;66;380,078026;399,932513;285,060063;-43,932775;15,684672;1068,560078;10984,227175;0,988331
16.8.2026 09:01:06,0s;67;380,081012;400,048676;285,033007;-46,253894;15,665879;1059,371962;11007,109041;0,987088
16.8.2026 09:01:07,0s;68;380,082804;400,082514;285,330981;-48,131264;15,668302;1058,709607;11025,408921;0,986069
16.8.2026 09:01:08,0s;69;380,081471;399,897595;284,758161;-50,126395;15,665961;1053,005880;11050,851215;0,984857
16.8.2026 09:01:09,0s;70;380,105641;400,299521;285,014010;-52,093920;15,662356;1042,378606;11074,302839;0,983704
16.8.2026 09:01:10,0s;71;380,084513;399,995560;284,873528;-53,856814;15,656726;1042,309952;11095,390916;0,982594
16.8.2026 09:01:11,0s;72;380,052787;399,906885;285,025337;-55,838988;15,655562;1032,353137;11115,761375;0,981345
16.8.2026 09:01:12,0s;73;380,079766;399,756837;285,268247;-57,866548;15,652092;1033,757028;11141,555776;0,980040
16.8.2026 09:01:13,0s;74;380,058512;399,947321;285,029691;-59,779285;15,650112;1022,507804;11160,165830;0,978707
16.8.2026 09:01:14,0s;75;380,035444;400,045334;284,886490;-61,829302;15,648259;1030,035496;11179,669832;0,977249
16.8.2026 09:01:15,0s;76;380,068294;400,472485;284,862956;-63,978013;15,646185;1019,440394;11199,004214;0,975695
16.8.2026 09:01:16,0s;77;380,046410;399,870078;285,011795;-65,425775;15,637114;1014,446884;11220,461573;0,974650
16.8.2026 09:01:17,0s;78;380,041361;399,899927;284,966804;-66,757625;15,643441;1005,066519;11228,091789;0,973640
16.8.2026 09:01:18,0s;79;380,067823;399,810248;284,806180;-69,056127;15,634875;1003,034819;11260,810297;0,971841
16.8.2026 09:01:19,0s;80;380,108532;399,729538;285,025509;-70,505806;15,632898;1001,274460;11282,505824;0,970741
16.8.2026 09:01:20,0s;81;380,123019;399,784041;285,269466;-72,318846;15,634465;992,213786;11296,522438;0,969337
16.8.2026 09:01:21,0s;82;380,093495;399,718318;284,946671;-74,311560;15,624987;989,345498;11315,622618;0,967636
16.8.2026 09:01:22,0s;83;380,113043;399,913160;284,924449;-76,407819;15,626383;984,820759;11335,903172;0,965873
16.8.2026 09:01:23,0s;84;380,067386;400,125197;285,043846;-78,389865;15,620418;983,340047;11369,696964;0,964203
16.8.2026 09:01:24,0s;85;380,106577;399,670862;285,197655;-79,215891;15,621243;974,707429;11371,802110;0,963523
16.8.2026 09:01:25,0s;86;380,106108;399,731958;284,887474;-80,867579;15,613919;975,017787;11394,084100;0,961994
16.8.2026 09:01:26,0s;87;380,115493;399,990579;285,061121;-82,435028;15,614675;972,130365;11406,261189;0,960639
16.8.2026 09:01:27,0s;88;380,108122;400,279445;284,577314;-83,699377;15,616189;966,360279;11424,766102;0,959365
16.8.2026 09:01:28,0s;89;380,125596;400,367216;285,111003;-84,976482;15,609819;955,946070;11436,752724;0,958340
16.8.2026 09:01:29,0s;90;380,077025;400,246695;285,034367;-86,209221;15,611310;957,161347;11453,919328;0,957178
16.8.2026 09:01:30,0s;91;380,080058;399,902873;284,962070;-87,826398;15,607521;957,719280;11468,177309;0,955642
16.8.2026 09:01:31,0s;92;380,067022;400,182370;284,959501;-88,432382;15,607934;949,499008;11473,880742;0,955067
16.8.2026 09:01:32,0s;93;380,090416;399,855756;284,896929;-90,189499;15,603442;946,314259;11489,729174;0,953369
16.8.2026 09:01:33,0s;94;380,070291;399,996735;284,900657;-91,165380;15,603480;948,584610;11500,536267;0,952427
16.8.2026 09:01:34,0s;95;380,083656;400,352690;285,022177;-92,356619;15,595804;951,528869;11516,405742;0,951304
16.8.2026 09:01:35,0s;96;380,067526;399,985336;284,846921;-93,631406;15,595557;938,978465;11534,659114;0,949993
16.8.2026 09:01:36,0s;97;380,054708;400,025998;284,585083;-94,356067;15,595475;944,537966;11542,738212;0,949188
16.8.2026 09:01:37,0s;98;380,038178;399,940284;285,086336;-95,062530;15,596693;943,829624;11546,021722;0,948650
16.8.2026 09:01:38,0s;99;380,125962;399,701010;284,930543;-95,088108;15,607149;933,044418;11552,212976;0,948572
16.8.2026 09:01:39,0s;100;380,087060;399,993779;285,034875;-95,993948;15,601203;936,525127;11553,005259;0,947699
16.8.2026 09:01:40,0s;101;380,115871;399,993333;284,988902;-96,859922;15,592905;930,734188;11567,878838;0,946809
16.8.2026 09:01:41,0s;102;380,070193;399,751907;285,111163;-97,613638;15,585308;928,761811;11571,015479;0,946087
16.8.2026 09:01:42,0s;103;380,127183;399,972815;285,028963;-97,435424;15,589063;934,142238;11577,857187;0,946240
16.8.2026 09:01:43,0s;104;380,167975;400,174875;285,091425;-97,569885;15,589703;929,692375;11567,209865;0,946125
16.8.2026 09:01:44,0s;105;380,093439;400,034686;285,005779;-98,356179;15,585348;929,214789;11583,012272;0,945293
16.8.2026 09:01:45,0s;106;380,145111;399,875614;285,266337;-97,866659;15,585185;928,955871;11579,636909;0,945884
16.8.2026 09:01:46,0s;107;380,092804;399,815902;285,274137;-97,688433;15,594260;925,155447;11571,529293;0,946068
16.8.2026 09:01:47,0s;108;380,130762;400,057669;285,133690;-97,712374;15,590556;930,641959;11573,428813;0,945995
16.8.2026 09:01:48,0s;109;380,125396;399,942377;285,213324;-98,066975;15,585596;930,325528;11582,720663;0,945661
16.8.2026 09:01:49,0s;110;380,108820;400,066534;285,251803;-98,245414;15,583398;928,650920;11582,700883;0,945493
16.8.2026 09:01:50,0s;111;380,096140;400,206347;284,891096;-97,367618;15,588174;934,292725;11572,632355;0,946261
16.8.2026 09:01:51,0s;112;380,126948;400,176825;285,015154;-97,909033;15,585943;931,956141;11580,080880;0,945753
16.8.2026 09:01:52,0s;113;380,066575;400,277768;285,137809;-98,137166;15,594424;927,554488;11579,632188;0,945563
16.8.2026 09:01:53,0s;114;380,095111;400,175043;284,767511;-97,995112;15,591783;929,560430;11580,592031;0,945578
16.8.2026 09:01:54,0s;115;380,092336;399,959802;284,845130;-98,024130;15,581455;928,711724;11576,998696;0,945576
16.8.2026 09:01:55,0s;116;380,103694;399,932787;284,946366;-98,316448;15,590816;934,559740;11582,414088;0,945313
16.8.2026 09:01:56,0s;117;380,147016;400,345963;284,867753;-98,199809;15,587969;923,456158;11583,331175;0,945404
16.8.2026 09:01:57,0s;118;380,078689;399,817693;285,129710;-97,755363;15,591209;931,468950;11573,209773;0,945949
16.8.2026 09:01:58,0s;119;380,074486;400,082122;284,894045;-97,572273;15,593644;929,657779;11572,535859;0,946054
16.8.2026 09:01:59,0s;120;380,105705;399,971437;285,084198;-98,088739;15,590395;930,861633;11571,713131;0,945594
16.8.2026 09:02:00,0s;121;380,080824;400,077987;285,031416;-98,101294;15,588307;930,444851;11578,727279;0,945562
16.8.2026 09:02:01,0s;122;380,099214;400,086489;285,007542;-98,063627;15,589556;930,105249;11577,804788;0,945592
16.8.2026 09:02:02,0s;123;380,072743;400,010935;285,020544;-98,028988;15,588668;931,451459;11576,580451;0,945632
16.8.2026 09:02:03,0s;124;380,129442;399,855878;285,043136;-98,297763;15,588146;927,768297;11581,713730;0,945366
16.8.2026 09:02:04,0s;125;380,095645;399,948190;284,822469;-97,754494;15,590790;931,999655;11574,026039;0,945843
16.8.2026 09:02:05,0s;126;380,129278;400,052008;284,647109;-98,300562;15,584732;933,453869;11578,599369;0,945223
16.8.2026 09:02:06,0s;127;380,063570;399,835833;285,236023;-97,767378;15,588005;927,375100;11574,664526;0,945974
16.8.2026 09:02:07,0s;128;380,103142;399,827757;284,808262;-98,241531;15,586051;927,955553;11579,078407;0,945340
16.8.2026 09:02:08,0s;129;380,092005;399,661387;284,986568;-97,908442;15,586617;930,875049;11568,871478;0,945743
16.8.2026 09:02:09,0s;130;380,108573;400,214423;285,107555;-98,284697;15,595453;930,113055;11576,808523;0,945402
16.8.2026 09:02:10,0s;131;380,108699;399,779623;285,019397;-97,832608;15,585901;930,854461;11571,807507;0,945832
16.8.2026 09:02:11,0s;132;380,142744;400,078307;285,223133;-98,163071;15,593527;930,490692;11577,826663;0,945567
16.8.2026 09:02:12,0s;133;380,079950;399,697976;285,156073;-97,802878;15,596180;932,408016;11572,362869;0,945910
16.8.2026 09:02:13,0s;134;380,149000;399,993493;285,124623;-98,028623;15,592867;930,950086;11578,286992;0,945669
16.8.2026 09:02:14,0s;135;380,082586;400,203391;285,018269;-97,977203;15,587072;928,597316;11574,283519;0,945684
16.8.2026 09:02:15,0s;136;380,128353;399,817905;284,946259;-97,944466;15,590782;930,523660;11579,375231;0,945693
16.8.2026 09:02:16,0s;137;380,125537;400,114367;284,834575;-97,889134;15,588669;930,591186;11574,148160;0,945710
16.8.2026 09:02:17,0s;138;380,093115;399,698358;285,095552;-97,970011;15,587154;929,759742;11585,542420;0,945719
16.8.2026 09:02:18,0s;139;380,173968;399,868699;285,184958;-97,924580;15,593240;929,307022;11582,273760;0,945796
16.8.2026 09:02:19,0s;140;380,105256;400,031842;284,865167;-98,096927;15,588959;927,676076;11579,268953;0,945508
16.8.2026 09:02:20,0s;141;380,132562;400,159021;284,957907;-97,978399;15,592178;929,366023;11583,832506;0,945662
16.8.2026 09:02:21,0s;142;380,099029;400,147404;285,243129;-98,357474;15,590867;930,392039;11580,028252;0,945375
16.8.2026 09:02:22,0s;143;380,111950;400,226298;284,965498;-98,071160;15,591632;928,119453;11575,407106;0,945570
16.8.2026 09:02:23,0s;144;380,093457;399,933789;285,470951;-98,067889;15,587696;931,228430;11568,229219;0,945750
16.8.2026 09:02:24,0s;145;380,085160;399,648140;284,798066;-98,062359;15,587751;936,226902;11577,301801;0,945520
16.8.2026 09:02:25,0s;146;380,114699;399,703445;284,892200;-98,352283;15,588381;922,536726;11583,887906;0,945257
16.8.2026 09:02:26,0s;147;380,138746;400,059553;285,145714;-97,949775;15,592780;927,103725;11572,834768;0,945757
16.8.2026 09:02:27,0s;148;380,064895;399,991742;285,045454;-98,351045;15,589385;927,714645;11581,844215;0,945312
16.8.2026 09:02:28,0s;149;380,071878;400,190685;285,204137;-98,282647;15,589102;931,703317;11586,339535;0,945438
16.8.2026 09:02:29,0s;150;380,075234;400,209207;284,898782;-97,942892;15,593464;933,243316;11574,572799;0,945677
16.8.2026 09:02:30,0s;151;380,088363;399,886324;284,761652;-98,451231;15,588512;929,586410;11580,601717;0,945109
16.8.2026 09:02:31,0s;152;380,150131;399,948319;284,831182;-98,103164;15,589196;934,773200;11575,569515;0,945490
16.8.2026 09:02:32,0s;153;380,142680;399,918009;285,132031;-98,065122;15,591058;931,256868;11582,008122;0,945635
16.8.2026 09:02:33,0s;154;380,081305;399,791887;285,118774;-98,123541;15,595630;930,772386;11580,724787;0,945570
16.8.2026 09:02:34,0s;155;380,098156;399,848214;284,915309;-97,933218;15,590432;934,458815;11568,183984;0,945693
16.8.2026 09:02:35,0s;156;380,123093;399,991586;284,857559;-98,117033;15,587233;934,789848;11577,295877;0,945485
16.8.2026 09:02:36,0s;157;380,101577;399,921595;284,589825;-98,073928;15,591824;935,560298;11574,752872;0,945435
16.8.2026 09:02:37,0s;158;380,089757;400,342648;285,064428;-98,044075;15,590271;924,933091;11583,306102;0,945632
16.8.2026 09:02:38,0s;159;380,066744;400,001269;285,036057;-98,430974;15,592257;935,588972;11572,677430;0,945227
16.8.2026 09:02:39,0s;160;380,064503;400,238639;284,786171;-97,953216;15,587247;934,111104;11576,691666;0,945627
16.8.2026 09:02:40,0s;161;380,090843;400,313966;284,839091;-97,720475;15,589326;926,073536;11579,483192;0,945883
16.8.2026 09:02:41,0s;162;380,116441;400,140224;284,769709;-98,088840;15,597062;934,067695;11576,235993;0,945483
16.8.2026 09:02:42,0s;163;380,092129;399,763979;284,840313;-98,147908;15,585625;928,920274;11584,782444;0,945448
16.8.2026 09:02:43,0s;164;380,109432;400,084257;285,209193;-98,109315;15,589535;935,823027;11581,148662;0,945617
16.8.2026 09:02:44,0s;165;380,068741;400,105704;284,772011;-97,753976;15,598503;932,193025;11572,566911;0,945826
16.8.2026 09:02:45,0s;166;380,087849;400,112406;284,723864;-98,048204;15,582962;929,380228;11581,204362;0,945508
16.8.2026 09:02:46,0s;167;380,123839;399,930132;284,813495;-98,137511;15,586678;931,907850;11580,856794;0,945449
16.8.2026 09:02:47,0s;168;380,151995;400,031360;284,779923;-97,709837;15,598174;927,815834;11571,544967;0,945874
16.8.2026 09:02:48,0s;169;380,150312;400,249095;285,087628;-98,066298;15,594685;933,025691;11579,009519;0,945618
16.8.2026 09:02:49,0s;170;380,093731;400,004444;284,886478;-98,126430;15,592993;930,772606;11576,824458;0,945486
16.8.2026 09:02:50,0s;171;380,135487;400,127027;284,999890;-97,582998;15,591867;930,120730;11572,134179;0,946080
16.8.2026 09:02:51,0s;172;380,080011;400,068395;284,985424;-98,018225;15,593514;928,743542;11571,413674;0,945631
16.8.2026 09:02:52,0s;173;380,055903;399,990532;284,968297;-97,892032;15,594569;929,795084;11582,557381;0,945754
16.8.2026 09:02:53,0s;174;380,116693;399,992053;285,026975;-97,484494;15,590268;931,936629;11566,249546;0,946189
16.8.2026 09:02:54,0s;175;380,090527;399,916942;285,035977;-97,913408;15,586551;928,761946;11574,412689;0,945756
16.8.2026 09:02:55,0s;176;380,146797;400,078270;284,905483;-98,394732;15,588593;934,259929;11575,034720;0,945218
16.8.2026 09:02:56,0s;177;380,100249;399,915181;284,516462;-98,200054;15,593919;935,897015;11585,834192;0,945280
16.8.2026 09:02:57,0s;178;380,052727;400,275284;284,871105;-98,457836;15,588026;931,754958;11584,173443;0,945141
16.8.2026 09:02:58,0s;179;380,096240;399,755538;285,357491;-97,946693;15,586221;927,337109;11572,831334;0,945834
16.8.2026 09:02:59,0s;180;380,098291;400,236515;285,021796;-98,000133;15,599759;931,639039;11579,550396;0,945662
16.8.2026 09:03:00,0s;181;380,084174;399,934928;284,816827;-97,618556;15,592681;929,949775;11575,886612;0,945979
16.8.2026 09:03:01,0s;182;380,102949;400,055980;284,862565;-97,661804;15,594055;936,892567;11570,728861;0,945951
16.8.2026 09:03:02,0s;183;380,118812;399,873471;285,076114;-97,495660;15,591467;924,631262;11570,584637;0,946195
16.8.2026 09:03:03,0s;184;380,075328;400,140918;285,084090;-98,175345;15,583292;934,304113;11585,086842;0,945505
16.8.2026 09:03:04,0s;185;380,080360;399,977917;285,101823;-98,073452;15,591326;931,171421;11581,301493;0,945616
16.8.2026 09:03:05,0s;186;380,091399;399,841192;285,027402;-98,057481;15,590876;926,673217;11570,935213;0,945606
16.8.2026 09:03:06,0s;187;380,076639;400,072454;285,368466;-97,775720;15,593700;928,878335;11574,628164;0,946012
16.8.2026 09:03:07,0s;188;380,094927;399,998590;284,843338;-97,945761;15,590481;932,335956;11577,540664;0,945655
16.8.2026 09:03:08,0s;189;380,083276;400,031586;285,118684;-98,113235;15,595245;930,757180;11578,750386;0,945581
16.8.2026 09:03:09,0s;190;380,103946;399,870539;284,967799;-97,620095;15,586039;931,475296;11575,113896;0,946031
16.8.2026 09:03:10,0s;191;380,073464;400,125065;284,910015;-97,912205;15,586225;936,248020;11567,842217;0,945713
16.8.2026 09:03:11,0s;192;380,082708;399,766993;284,905048;-97,934620;15,591577;930,165226;11574,485478;0,945688
16.8.2026 09:03:12,0s;193;380,103524;399,944482;284,875805;-98,231699;15,587074;933,316391;11573,007167;0,945374
16.8.2026 09:03:13,0s;194;380,090711;399,727472;284,954039;-97,846401;15,591329;930,886143;11578,027323;0,945795
16.8.2026 09:03:14,0s;195;380,090831;399,651709;285,018318;-98,283803;15,587292;927,560462;11575,197396;0,945371
16.8.2026 09:03:15,0s;196;380,065623;399,851471;284,886684;-97,767871;15,589812;930,413745;11569,005211;0,945852
16.8.2026 09:03:16,0s;197;380,064559;400,162954;284,960049;-98,133820;15,584466;927,257201;11580,378474;0,945504
16.8.2026 09:03:17,0s;198;380,026693;400,284763;285,021483;-97,937465;15,591618;931,355177;11577,561588;0,945726
16.8.2026 09:03:18,0s;199;380,052293;399,966438;285,064816;-98,128393;15,590619;926,255232;11577,619134;0,945546
16.8.2026 09:03:19,0s;200;380,091496;400,505644;285,218448;-97,957510;15,583839;929,188564;11581,464378;0,945775
16.8.2026 09:03:20,0s;201;380,095581;399,910778;285,045153;-97,923235;15,593992;927,939321;11574,223756;0,945749
16.8.2026 09:03:21,0s;202;380,087225;399,945290;284,959805;-98,131193;15,586763;934,541861;11579,663438;0,945507
16.8.2026 09:03:22,0s;203;380,062302;399,992881;284,892912;-98,449817;15,598467;929,298132;11583,155634;0,945157
16.8.2026 09:03:23,0s;204;380,064237;399,861851;285,239268;-98,417089;15,593904;930,395583;11588,737313;0,945313
16.8.2026 09:03:24,0s;205;380,045033;399,900013;285,141955;-97,698627;15,586837;926,289404;11575,688362;0,946011
16.8.2026 09:03:25,0s;206;380,088350;400,044070;285,501063;-98,015844;15,589900;932,099286;11579,890324;0,945814
16.8.2026 09:03:26,0s;207;380,095581;399,927777;284,784730;-97,869026;15,585940;928,277129;11570,024594;0,945713
