# YHDA_VERSION=0.6.1
# TEST_SERVICE=RGDH
# PLANT_TYPE=KONV
# STEP_ID=UE_MID
# STEP_NAME=Düşük ikaz — ara çıkış gücü
# TESIS_ADI=YHDA Örnek Konvansiyonel Santral
# UNIT_ID=U1
# TEST_DATE=2026-08-16
# CITY=ANKARA
# COMPANY=YHDA Sentetik Test
# PNOM_MW=300.0
# NOMINAL_VOLTAGE_KV=380.0
# MEASUREMENT_DEVICE=Harici İzole Veri Kayıt Sistemi
# MEASUREMENT_SOFTWARE=YHDA Logger Utility
# MEASUREMENT_ACCURACY_PERCENT=0.2
# CALIBRATION_DATE=2026-02-01
# CALIBRATION_CERT_NO=YHDA-CAL-2026-001
# TEST_ENGINEER=Sentetik Test Verisi
# REPORT_PREPARED_BY=YHDA v0.6.1
# RECORDING_COMPUTER=Saha Dizüstü Bilgisayarı
# SAMPLE_PERIOD_MS=1000
# VOLTAGE_DROOP_PERCENT=4
# Q_TEST_DURATION_MIN=10
# PMKUD_MW=120
# SGEN_MVA=350
# COSPHI_NOM=0.85
# VNOM_GEN_KV=15.75
# Q_REQUIRED_OE_MVAR=155
# Q_REQUIRED_UE_MVAR=-98
# STEP_Q_TARGET_MVAR=-78
# STEP_PSET_MW=220
time_s;bus_voltage_kv;internal_aux_voltage_v;active_power_mw;reactive_power_mvar;terminal_voltage_kv;excitation_current_a;stator_current_a;power_factor
29;380,014975;400,197209;220,054623;-0,069688;15,754912;1182,665424;10500,752188;1,000000
30;380,048562;399,616551;220,072467;-0,081300;15,752963;1179,403280;10502,956047;1,000000
31;380,016825;399,971004;219,931561;0,390203;15,752984;1178,413395;10504,968460;0,999998
32;380,032613;400,072757;220,130911;-0,362291;15,747047;1180,780405;10500,058523;0,999999
33;380,029589;399,861689;219,950316;0,072310;15,746779;1181,197164;10500,525689;1,000000
34;380,024779;400,057854;220,272066;-0,810468;15,752928;1177,302544;10511,426957;0,999993
35;380,004766;400,073452;219,979802;-0,760173;15,743101;1182,049575;10508,531325;0,999994
36;380,078097;399,832885;220,021902;-1,476679;15,755795;1175,762941;10514,162950;0,999977
37;380,034807;400,058756;220,149027;-2,023600;15,744606;1175,304410;10524,992502;0,999958
38;380,044926;400,163448;220,122237;-2,308143;15,739397;1173,594032;10527,971523;0,999945
39;380,029043;399,741696;220,224901;-3,179778;15,742464;1171,421830;10532,683534;0,999896
40;380,053628;399,867952;219,976411;-3,823672;15,742232;1165,396187;10541,260503;0,999849
41;380,020650;400,068626;220,042422;-4,564552;15,742708;1158,250042;10548,577886;0,999785
42;380,038997;400,061484;219,817015;-5,306857;15,733626;1161,389783;10559,653666;0,999709
43;380,019795;399,927518;219,969495;-6,141932;15,743278;1158,469271;10569,862446;0,999610
44;380,036028;400,123831;220,032577;-7,248937;15,741669;1155,841679;10578,275121;0,999458
45;380,027706;400,202871;220,017888;-8,127522;15,724532;1152,992304;10589,390859;0,999318
46;380,036812;400,027121;219,785508;-9,265818;15,729489;1150,950980;10601,340227;0,999113
47;380,056066;399,993750;220,466014;-10,190636;15,720111;1146,867045;10609,390499;0,998933
48;380,059015;399,765632;220,122121;-11,451348;15,728958;1143,493016;10624,839385;0,998650
49;380,084780;400,106552;220,065755;-12,421099;15,724546;1141,824503;10637,730530;0,998411
50;380,047125;399,976936;220,071678;-13,607489;15,718265;1142,613489;10647,010066;0,998094
51;380,036248;399,867133;219,997976;-15,084314;15,720204;1132,259128;10662,801740;0,997658
52;380,052792;399,682346;220,107308;-16,304911;15,724447;1128,015866;10669,400718;0,997268
53;380,031214;399,917153;219,870376;-17,602389;15,715021;1123,678615;10705,299932;0,996811
54;380,065801;399,759807;219,722962;-18,707029;15,710094;1119,362945;10699,429353;0,996395
55;380,087600;400,013536;220,029473;-20,468619;15,701735;1119,022970;10728,607389;0,995701
56;380,061316;400,043734;220,191791;-21,638391;15,705301;1110,013788;10737,420157;0,995206
57;380,054730;400,087994;219,964325;-23,166544;15,702070;1099,080646;10756,908841;0,994500
58;380,086396;400,192575;220,042152;-24,437795;15,701483;1099,537937;10772,590715;0,993889
59;380,055621;399,790726;219,936015;-26,173687;15,697507;1093,427743;10788,288743;0,992993
60;380,082311;400,062879;219,884393;-27,149301;15,693620;1091,310887;10799,668984;0,992464
61;380,037438;399,844511;220,065498;-28,872958;15,688385;1091,782055;10819,184872;0,991503
62;380,056393;399,811237;220,002333;-30,301295;15,687183;1088,740064;10827,907212;0,990648
63;380,060632;399,757189;220,036747;-32,110611;15,679191;1076,874344;10852,350053;0,989519
64;380,081161;400,222570;219,985907;-33,826477;15,676049;1072,120763;10873,578514;0,988384
65;380,076454;399,904115;219,948207;-35,116884;15,671083;1063,081669;10887,996515;0,987493
66;380,075355;400,310522;220,243330;-36,630934;15,684168;1066,660475;10907,494105;0,986449
67;380,120719;400,035816;219,999531;-37,855017;15,674350;1053,487419;10913,797998;0,985517
68;380,028734;399,823424;220,034679;-39,328813;15,673387;1046,575937;10929,654055;0,984399
69;380,083666;399,961894;220,168708;-41,404801;15,661547;1045,623920;10960,986881;0,982772
70;380,051445;400,076697;220,157106;-42,938260;15,661705;1043,048013;10967,059172;0,981507
71;380,083752;399,709352;220,019893;-44,306506;15,656697;1041,010569;10981,481086;0,980321
72;380,038922;399,890501;220,113290;-45,958783;15,652295;1031,987062;11004,305940;0,978890
73;380,110830;399,904497;220,182746;-47,549715;15,647616;1033,463832;11022,829776;0,977467
74;380,074132;399,965194;219,869569;-48,716022;15,654218;1026,234967;11031,488665;0,976322
75;380,065731;399,648376;220,009702;-50,327649;15,652501;1011,830486;11049,388476;0,974820
76;380,087363;400,038108;219,799011;-51,927440;15,641760;1009,899216;11069,239931;0,973209
77;380,086507;400,164238;219,903665;-53,727846;15,638417;1004,950625;11089,703254;0,971426
78;380,053854;399,998380;219,889541;-55,166422;15,635228;1003,089065;11101,489004;0,969941
79;380,037894;400,141265;220,097062;-56,432910;15,630601;1005,085470;11120,511945;0,968666
80;380,040367;399,919044;219,873250;-57,866689;15,633713;997,734096;11140,291190;0,967069
81;380,090718;399,621702;220,073542;-59,039955;15,621262;990,614100;11152,345031;0,965847
82;380,097072;400,090713;220,052775;-60,418012;15,623646;990,348127;11158,548019;0,964313
83;380,091495;400,043526;220,394070;-61,800098;15,626719;975,920414;11177,962128;0,962862
84;380,090850;400,240279;219,938945;-63,196400;15,617300;973,618742;11197,485370;0,961111
85;380,063760;400,055077;219,719443;-64,016253;15,611036;971,192821;11206,988191;0,960081
86;380,100149;399,927357;219,929200;-65,250571;15,624202;970,428332;11219,187898;0,958696
87;380,046912;400,119459;220,046544;-66,633356;15,617292;962,946538;11234,716679;0,957082
88;380,037527;400,249801;220,064467;-67,713065;15,616953;963,375175;11239,447340;0,955778
89;380,054940;400,078102;219,942995;-68,877456;15,607437;956,164863;11257,916338;0,954300
90;380,107755;400,075608;219,834885;-69,547745;15,605160;950,602876;11263,208615;0,953425
91;380,092518;400,111846;219,849744;-70,757014;15,599761;961,243643;11285,836009;0,951914
92;380,065002;399,928268;220,071046;-71,586817;15,601395;949,359725;11285,084143;0,950953
93;380,060439;399,685341;219,923355;-72,916835;15,607741;946,663790;11303,742412;0,949188
94;380,105843;400,012202;219,882459;-73,130423;15,607782;945,364052;11303,357619;0,948895
95;380,065354;400,025946;219,616736;-74,271853;15,600372;945,618931;11317,881546;0,947294
96;380,077310;399,834008;220,074417;-74,873212;15,589730;941,543987;11327,481023;0,946710
97;380,086049;399,927458;220,137465;-75,435845;15,599940;937,659023;11329,014105;0,945998
98;380,084787;400,222996;219,987643;-76,290983;15,600604;934,920513;11335,191187;0,944798
99;380,071540;399,973949;220,162478;-76,490862;15,596620;932,380382;11344,597965;0,944613
100;380,077743;400,048631;220,137039;-76,821846;15,587973;938,620937;11339,472906;0,944160
101;380,077725;399,751804;220,128654;-77,177773;15,593018;931,450325;11354,785758;0,943681
102;380,092203;400,118143;219,895922;-77,540338;15,584826;925,951526;11359,312887;0,943085
103;380,082040;399,977168;220,143320;-77,958201;15,593289;930,167388;11363,950465;0,942640
104;380,089426;399,726408;219,745107;-77,812587;15,589358;930,767210;11348,552833;0,942646
105;380,083511;400,351150;219,894833;-78,069051;15,582916;930,213949;11357,107663;0,942371
106;380,100211;400,085402;219,944311;-77,786383;15,592472;922,559907;11345,101531;0,942776
107;380,112995;400,204991;219,950764;-77,785056;15,588996;925,398955;11356,055108;0,942781
108;380,087550;399,896555;220,017174;-77,910429;15,581427;923,584134;11354,958427;0,942644
109;380,067366;400,022258;220,065102;-77,866088;15,590626;931,301042;11353,849743;0,942726
110;380,151421;399,980622;219,850431;-78,074735;15,583322;932,931049;11361,975418;0,942342
111;380,076111;400,124167;219,982217;-78,111725;15,597152;927,696441;11357,480644;0,942355
112;380,096869;400,000619;219,988961;-78,309479;15,596882;927,460656;11363,932982;0,942091
113;380,080749;399,702959;220,043284;-77,867278;15,587798;929,172238;11360,406510;0,942714
114;380,128553;399,975632;219,914813;-77,950682;15,588533;928,258625;11352,925341;0,942541
115;380,088952;399,692837;219,706180;-77,843481;15,586744;934,515278;11354,411178;0,942586
116;380,089187;399,681413;220,161931;-77,872724;15,589818;930,740786;11352,950520;0,942764
117;380,096799;399,734407;219,956721;-78,067058;15,588019;924,944365;11358,915936;0,942404
118;380,126483;399,991966;220,013840;-77,841484;15,595082;935,997347;11359,827444;0,942735
119;380,130776;400,331373;219,589273;-78,072413;15,589412;929,332388;11360,644021;0,942220
120;380,096032;399,972401;220,296973;-78,064787;15,588554;932,209820;11351,955401;0,942569
121;380,113092;400,207990;220,016066;-77,715262;15,587017;927,087373;11351,963684;0,942906
122;380,119232;399,997748;219,999469;-77,582357;15,592894;932,433748;11356,760759;0,943077
123;380,086875;400,193645;219,752934;-77,809369;15,589542;930,689224;11357,644902;0,942654
124;380,145683;399,704551;220,039811;-77,994091;15,578998;926,125781;11352,840044;0,942542
125;380,128936;399,847807;219,940157;-77,908245;15,587864;929,359530;11355,623610;0,942610
126;380,103082;400,065536;220,024554;-78,346585;15,591720;925,754451;11363,559190;0,942058
127;380,092760;400,072079;220,299787;-78,237332;15,589503;929,738907;11364,837334;0,942338
128;380,102007;400,244834;219,931372;-78,355009;15,589733;924,520074;11362,840904;0,942002
129;380,061565;399,728918;220,173396;-78,311353;15,593790;925,734840;11357,517312;0,942178
130;380,131085;400,000591;219,933314;-78,284457;15,595681;932,280371;11361,142336;0,942098
131;380,072380;399,734098;220,067076;-78,294863;15,599265;927,041443;11366,316900;0,942149
132;380,118508;399,931719;219,733435;-77,697684;15,586686;928,584096;11357,997730;0,942795
133;380,147073;399,946172;220,254655;-78,193339;15,578282;929,359439;11359,849874;0,942376
134;380,105491;400,110473;219,881318;-78,003296;15,585144;936,686235;11357,142100;0,942454
135;380,084067;399,711209;220,056236;-77,704203;15,583988;928,839191;11356,672145;0,942940
136;380,086907;400,143274;219,787108;-77,887606;15,595213;926,575474;11353,219174;0,942565
137;380,075970;399,839766;219,663112;-78,052802;15,596163;931,670112;11352,243684;0,942282
138;380,106287;399,946926;219,877522;-77,773820;15,590436;924,495948;11353,133244;0,942761
139;380,101392;400,064748;219,814558;-77,891320;15,581658;928,993944;11357,990455;0,942573
140;380,119880;400,184734;220,225816;-77,901348;15,583038;934,210841;11359,622283;0,942756
141;380,093534;400,016934;219,967847;-78,259853;15,587656;929,810480;11360,276523;0,942148
142;380,099409;399,888880;220,018358;-78,002824;15,589349;930,323123;11357,476542;0,942520
143;380,107851;400,117760;219,946223;-77,889091;15,584824;932,867977;11353,505446;0,942639
144;380,088664;399,695773;219,972736;-77,937499;15,593096;928,883624;11354,328433;0,942586
145;380,095509;399,858407;219,835007;-78,324110;15,588193;928,324572;11364,765501;0,941997
146;380,088614;399,712602;220,033985;-77,839480;15,585692;925,371096;11356,014279;0,942747
147;380,092189;400,071441;219,988806;-77,841833;15,589381;928,931658;11359,385688;0,942723
148;380,082930;400,088255;219,802607;-77,690398;15,588688;934,339113;11357,833907;0,942838
149;380,055138;399,922123;220,043168;-77,765246;15,590581;928,605176;11355,291635;0,942852
150;380,078433;400,149828;220,069884;-77,898470;15,590544;929,161710;11360,104960;0,942685
151;380,093044;399,952031;220,205211;-78,138312;15,585542;932,408252;11355,223434;0,942426
152;380,149801;400,148218;220,147063;-78,181863;15,592863;930,203126;11355,103670;0,942340
153;380,143006;399,803695;220,122906;-77,840213;15,594220;930,876609;11358,112671;0,942789
154;380,091033;400,217562;220,165173;-78,305735;15,594133;930,034799;11358,033206;0,942181
155;380,102068;400,007024;219,953136;-77,596650;15,593413;934,619313;11354,770394;0,943036
156;380,089061;399,959300;220,190232;-77,953070;15,595790;923,694848;11352,872482;0,942669
157;380,134280;400,125760;219,886045;-77,738327;15,596311;937,171594;11358,704323;0,942813
158;380,067179;400,071567;219,769132;-77,654475;15,589987;930,423678;11356,559363;0,942871
159;380,056815;400,062424;219,998003;-78,165632;15,588109;929,231041;11362,030236;0,942290
160;380,114969;400,058563;220,015181;-77,841837;15,586529;931,895872;11357,813143;0,942735
161;380,134850;399,860913;219,923712;-77,870923;15,594918;930,473195;11354,967640;0,942652
162;380,101916;400,120217;220,046272;-77,761092;15,594983;932,476079;11357,566171;0,942859
163;380,095256;400,150336;220,073511;-77,774876;15,589776;928,137497;11359,377657;0,942853
164;380,107426;399,918888;219,670828;-77,816570;15,590734;923,670534;11357,431385;0,942605
165;380,055590;399,886789;220,111257;-78,325692;15,591029;926,506213;11359,017329;0,942128
166;380,106273;400,070259;220,107685;-78,393682;15,581410;933,422893;11365,452742;0,942035
167;380,084290;400,192788;220,175703;-77,970634;15,586228;930,284596;11358,425041;0,942638
168;380,130921;400,028081;220,057345;-78,078698;15,589171;928,983574;11359,564019;0,942436
169;380,090849;399,976885;219,849218;-77,741376;15,587876;930,422113;11355,318159;0,942792
170;380,093380;400,031936;220,105124;-78,263609;15,586389;932,991947;11351,578446;0,942209
171;380,086617;399,773839;219,887017;-78,079741;15,592209;931,355171;11356,494063;0,942353
172;380,097324;399,531448;219,991301;-77,599405;15,590639;925,944503;11355,179737;0,943050
173;380,079598;400,185059;219,898519;-77,981516;15,582192;932,406150;11358,067637;0,942491
174;380,132056;399,730650;220,072663;-77,751905;15,588071;928,869275;11353,496408;0,942884
175;380,119647;399,827928;219,884733;-78,004576;15,596832;928,464691;11359,023468;0,942453
176;380,121813;400,136191;220,035035;-77,967741;15,585976;928,205495;11361,209535;0,942575
177;380,090679;400,086441;219,930550;-77,621480;15,594474;934,255740;11361,218605;0,942992
178;380,095827;400,147881;220,038946;-78,354180;15,588542;932,254960;11360,926907;0,942055
179;380,138002;400,154822;220,000649;-77,917079;15,596174;931,299464;11361,699853;0,942627
180;380,100446;400,180795;219,959744;-77,999912;15,599563;930,226148;11364,016500;0,942496
181;380,099713;399,919068;219,948472;-77,919872;15,597705;929,736434;11353,456909;0,942598
182;380,108281;400,014734;220,257777;-77,995917;15,590654;918,228798;11351,836034;0,942643
183;380,115652;400,044395;219,917999;-77,993499;15,589866;927,679020;11356,521884;0,942484
184;380,060776;399,864390;220,126520;-77,858709;15,588138;928,330055;11355,522467;0,942766
185;380,081430;400,148305;220,033184;-77,850759;15,592753;926,333136;11358,499264;0,942732
186;380,042033;399,940016;220,148736;-78,292617;15,592214;929,514216;11362,966689;0,942191
187;380,059613;400,006373;220,188841;-77,832000;15,598952;926,705195;11353,862485;0,942831
188;380,064464;399,851728;220,107212;-77,815098;15,588276;929,523336;11356,481066;0,942815
189;380,072264;400,158115;220,086491;-78,056508;15,591882;936,597322;11356,827728;0,942480
190;380,057527;400,102345;219,990497;-77,983275;15,594953;925,525632;11358,824125;0,942533
191;380,095373;400,183859;220,134153;-78,231179;15,584438;930,030720;11362,442013;0,942267
192;380,117538;400,080711;220,259447;-78,139422;15,591754;924,558816;11363,356069;0,942451
193;380,090531;399,977222;219,851757;-77,798909;15,583339;930,377730;11356,316559;0,942715
194;380,108658;399,872801;219,874443;-78,071070;15,595757;924,400980;11355,849323;0,942359
195;380,070701;399,723025;220,050873;-77,824014;15,595759;935,578774;11352,874767;0,942776
196;380,063887;399,839961;220,053236;-78,144550;15,593833;929,452736;11357,070333;0,942345
197;380,062630;399,783151;220,051928;-77,954512;15,593474;930,787494;11354,812599;0,942601
198;380,063737;399,694646;219,817319;-77,489223;15,590119;932,074613;11354,781891;0,943116
199;380,068142;400,148419;219,980822;-78,020437;15,592798;936,541722;11351,288628;0,942478
200;380,056839;399,987273;220,123734;-77,726448;15,594575;929,337496;11347,166644;0,942942
201;380,099456;399,909020;219,811635;-78,071313;15,593928;931,482627;11359,668087;0,942328
202;380,085803;400,328956;220,099072;-77,919067;15,583637;927,290135;11361,902271;0,942671
203;380,052605;399,919282;219,916843;-78,325850;15,588833;927,487204;11361,968227;0,942034
204;380,111289;399,865990;219,874444;-77,719202;15,591365;930,125772;11347,448401;0,942834
205;380,079028;400,279228;219,929790;-77,987812;15,591501;929,116005;11365,622305;0,942498
206;380,123698;399,914303;220,228189;-77,692897;15,584840;926,694118;11355,925661;0,943037
207;380,014602;399,971222;220,041119;-78,011529;15,592730;930,083232;11355,259662;0,942519
208;380,103112;400,012044;219,957955;-78,131226;15,591011;927,144047;11368,384934;0,942317
209;380,092832;399,921115;219,926135;-77,694839;15,596515;935,133145;11358,405431;0,942891
210;380,067403;399,919471;219,911129;-77,659105;15,591535;927,466533;11357,340897;0,942932
211;380,062179;400,238728;219,915880;-77,805937;15,584069;930,908229;11362,796657;0,942736
212;380,069104;400,231070;219,967636;-77,715016;15,593006;930,369287;11348,391569;0,942883
213;380,080245;399,992274;219,845334;-78,170084;15,595962;931,992301;11360,418364;0,942211
214;380,071895;399,923106;220,295007;-78,177991;15,589213;926,847450;11362,070275;0,942416
215;380,026010;399,832138;220,002875;-78,279105;15,588326;928,562799;11360,365934;0,942139
216;380,086037;400,032353;219,896773;-78,312948;15,589412;932,934891;11366,477974;0,942042
217;380,071140;399,770908;219,734541;-77,935838;15,582275;924,208215;11355,068020;0,942474
218;380,075640;399,815636;220,135098;-77,787778;15,590836;927,519487;11349,044398;0,942865
219;380,091976;399,960648;220,283245;-77,888848;15,593530;931,803632;11364,850267;0,942800
220;380,052885;399,792050;219,958877;-78,039768;15,596204;930,934305;11351,607946;0,942441
221;380,097327;399,772760;220,157018;-77,543462;15,587290;935,140016;11352,244975;0,943204
222;380,058921;399,922083;220,112363;-77,946144;15,594806;928,962989;11360,678476;0,942641
223;380,025972;399,819175;219,906367;-78,041795;15,592375;931,340894;11362,589570;0,942414
224;380,038014;399,525979;220,020042;-78,214378;15,585367;929,400303;11362,008534;0,942235
225;380,015136;400,035701;220,174449;-78,183437;15,589266;926,972547;11361,582716;0,942351
226;380,062703;400,150499;220,148132;-77,903712;15,589986;932,294244;11360,301825;0,942715
227;380,059005;400,019334;219,724573;-77,896230;15,590447;932,136833;11354,992641;0,942523
228;380,058570;399,943541;220,107797;-77,918013;15,597507;929,544211;11357,503224;0,942677
229;380,063180;400,044520;219,922681;-78,225935;15,593820;932,587077;11365,522946;0,942172
230;380,060705;400,066454;220,180879;-77,721752;15,577324;929,450607;11353,729123;0,942976
231;380,076134;399,900266;220,007561;-77,781619;15,587178;931,963300;11349,773126;0,942813
232;380,072538;400,296224;220,144595;-78,189067;15,594145;932,789027;11364,349118;0,942329
233;380,008341;400,086390;220,027363;-77,825221;15,587732;934,590718;11360,640743;0,942764
234;380,066006;399,733639;219,991779;-78,524079;15,589839;933,305240;11367,532493;0,941802
235;380,054946;400,105554;219,753740;-77,833850;15,590599;925,982472;11354,577107;0,942621
236;380,034793;399,829297;219,767034;-78,316677;15,591173;929,392039;11366,516761;0,941975
237;380,000631;399,917843;219,886095;-78,140390;15,587959;930,008104;11355,216956;0,942271
238;380,041849;400,317110;220,009731;-78,196402;15,592554;930,177279;11356,599469;0,942254
239;380,069432;400,250571;219,766341;-78,100170;15,591361;931,005414;11359,913230;0,942267
240;379,999231;399,904006;219,930930;-77,923065;15,594906;935,189950;11352,788209;0,942586
241;380,021895;400,093438;219,999903;-77,812316;15,592869;927,233109;11358,948510;0,942768
242;380,100622;400,190934;219,939662;-78,137464;15,582973;929,567892;11351,709791;0,942300
243;380,029931;399,859541;220,217820;-78,336768;15,588815;935,349694;11365,672499;0,942165
244;380,047694;400,113297;220,173251;-78,279974;15,586344;933,484982;11358,208918;0,942220
245;380,052994;399,733337;220,158293;-77,628395;15,590864;925,025233;11352,401369;0,943090
246;380,030430;399,843231;219,998168;-77,758925;15,587538;928,971444;11351,978863;0,942839
247;380,055724;400,079328;220,003921;-78,309042;15,588386;931,371406;11358,866211;0,942099
248;380,061181;400,074106;219,945553;-77,730530;15,582814;931,561746;11356,808569;0,942852
249;380,026236;400,008398;219,885734;-77,906173;15,581863;925,788685;11361,639136;0,942587
250;380,006954;399,472259;220,089266;-77,868542;15,583269;928,427373;11359,558680;0,942735
251;380,008561;399,521042;219,867237;-77,758190;15,593721;926,193751;11353,807723;0,942778
252;380,012998;400,166793;219,864093;-78,249239;15,591270;928,712615;11357,573782;0,942113
253;380,012081;399,872419;220,109102;-78,349474;15,597973;927,652127;11354,420487;0,942095
254;380,034124;399,746445;219,764900;-78,025324;15,587267;927,941901;11359,096261;0,942368
255;380,010162;400,082874;220,263884;-78,326722;15,593912;932,019937;11354,370829;0,942200
256;380,066455;399,861200;220,060561;-77,959879;15,596200;926,727176;11356,161383;0,942598
257;380,018261;399,761969;220,148805;-78,084305;15,594745;932,632711;11354,714997;0,942472
258;380,027864;399,830336;219,958595;-77,744402;15,596739;931,271527;11360,063274;0,942840
259;380,037020;399,929546;220,241758;-78,093870;15,586747;936,331133;11355,882817;0,942504
260;380,040803;399,921897;219,874702;-78,266702;15,591551;931,731754;11361,017359;0,942094
261;380,005835;400,106285;220,099849;-77,934429;15,587172;928,698168;11360,393373;0,942651
262;380,039816;400,117639;219,909189;-78,021351;15,593854;928,591590;11348,120543;0,942443
263;380,032753;400,163246;220,095657;-78,037538;15,586963;932,043060;11367,262832;0,942510
264;379,978017;399,928060;220,213432;-77,898345;15,590002;932,697578;11360,300348;0,942754
265;380,041143;400,017818;219,995241;-77,776508;15,592194;931,537158;11350,305893;0,942814
266;380,031561;399,758294;219,994170;-77,978133;15,594374;929,813570;11360,411107;0,942542
267;379,987551;399,712286;220,104283;-78,026621;15,591956;927,657497;11356,595751;0,942529
268;379,986362;399,817565;219,803034;-77,856749;15,592217;929,104539;11352,518973;0,942614
269;379,972335;399,986137;219,997895;-77,718559;15,593576;927,676402;11358,942034;0,942893
270;380,006460;399,968691;219,987818;-78,224092;15,588103;930,945378;11353,717613;0,942206
271;380,053519;399,753502;220,111954;-77,909737;15,597736;930,436631;11356,449471;0,942690
272;379,995918;400,208460;219,958632;-77,684356;15,592882;930,338251;11355,611871;0,942920
273;380,055370;399,762098;219,923431;-78,061112;15,593183;932,745179;11358,406957;0,942396
274;379,956212;399,682086;220,140517;-78,095718;15,590395;928,673877;11367,958453;0,942453
275;380,009541;399,918334;220,000253;-77,912164;15,589336;929,142422;11358,280431;0,942633
276;379,979386;400,233545;219,799474;-77,851808;15,586474;924,209597;11358,475039;0,942619
277;380,030083;399,890033;219,725519;-77,875395;15,585414;931,879547;11358,450937;0,942552
278;379,980700;400,078617;219,898332;-78,204856;15,585434;929,254531;11359,630900;0,942189
279;379,986601;399,759748;219,908874;-78,173500;15,586273;930,337242;11361,024436;0,942237
280;380,027126;400,090140;219,953775;-77,708516;15,586506;928,253579;11354,801986;0,942886
281;380,008968;400,129518;220,061402;-77,774385;15,589357;925,477595;11352,813526;0,942848
282;380,016223;400,014913;220,353860;-78,282227;15,582748;932,807718;11359,765766;0,942303
283;380,007723;400,300068;219,584826;-78,145344;15,587912;927,887868;11356,830381;0,942119
